	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_99	9-TaxaFilter_99	10-MultipletonsFilter_99	11-Subsampling_99	12-Lulu_99
WSH174_S118_L001	42439	34398	34398	34398 (9122 uniques)	33425 (587 uniques)	28206 (363 uniques)	9895 (242 uniques)	9738 (238 uniques)	9738 (238 uniques)	9738 (182 uniques)	8015 (159 uniques)	8011 (157 uniques)	1200 (143 uniques)	1200 (130 uniques)
WSH175_S130_L001	36434	27058	27058	27058 (7055 uniques)	26367 (379 uniques)	18750 (190 uniques)	923 (42 uniques)	923 (42 uniques)	923 (42 uniques)	923 (40 uniques)	695 (34 uniques)	691 (32 uniques)	/	/
WSH176_S142_L001	85660	63257	63257	63257 (10868 uniques)	62392 (522 uniques)	56918 (322 uniques)	6282 (160 uniques)	6278 (159 uniques)	6278 (159 uniques)	6278 (121 uniques)	4368 (98 uniques)	4366 (97 uniques)	1200 (93 uniques)	1200 (88 uniques)
WSH177_S154_L001	91262	73574	73574	73574 (15288 uniques)	72651 (775 uniques)	66779 (900 uniques)	31264 (750 uniques)	31260 (748 uniques)	31260 (748 uniques)	31260 (353 uniques)	29444 (331 uniques)	29437 (327 uniques)	1200 (239 uniques)	1200 (185 uniques)
WSH178_S166_L001	47202	37229	37229	37229 (8341 uniques)	36520 (488 uniques)	29834 (310 uniques)	5629 (175 uniques)	5629 (175 uniques)	5629 (175 uniques)	5629 (139 uniques)	3294 (110 uniques)	3294 (110 uniques)	1200 (109 uniques)	1200 (107 uniques)
WSH179_S178_L001	124970	102051	102051	102051 (22796 uniques)	100623 (1080 uniques)	91350 (1853 uniques)	49839 (1543 uniques)	49613 (1521 uniques)	49613 (1521 uniques)	49613 (508 uniques)	28662 (400 uniques)	28657 (397 uniques)	1200 (279 uniques)	1200 (236 uniques)
WSH180_S190_L001	26438	19463	19463	19463 (5149 uniques)	19139 (188 uniques)	14039 (137 uniques)	643 (36 uniques)	643 (36 uniques)	643 (36 uniques)	643 (36 uniques)	583 (32 uniques)	583 (32 uniques)	/	/
WSH181_S107_L001	51987	39510	39510	39510 (4876 uniques)	39374 (72 uniques)	38795 (85 uniques)	598 (32 uniques)	598 (32 uniques)	598 (32 uniques)	598 (31 uniques)	383 (26 uniques)	379 (24 uniques)	/	/
WSH182_S119_L001	39391	31137	31137	31137 (3962 uniques)	31042 (46 uniques)	30876 (66 uniques)	244 (13 uniques)	244 (13 uniques)	244 (13 uniques)	244 (12 uniques)	208 (10 uniques)	208 (10 uniques)	/	/
WSH183_S131_L001	26569	21944	21944	21944 (2935 uniques)	21803 (42 uniques)	21545 (58 uniques)	63 (6 uniques)	63 (6 uniques)	63 (6 uniques)	63 (6 uniques)	44 (5 uniques)	44 (5 uniques)	/	/
WSH184_S143_L001	29100	23257	23257	23257 (3228 uniques)	23093 (44 uniques)	22864 (59 uniques)	255 (9 uniques)	255 (9 uniques)	255 (9 uniques)	255 (9 uniques)	207 (8 uniques)	207 (8 uniques)	/	/
