GO_ID,term,GOSlim_bin,aspect
GO:0000001,mitochondrion inheritance,cell organization and biogenesis,P
GO:0000002,mitochondrial genome maintenance,cell organization and biogenesis,P
GO:0000003,reproduction,other biological processes,P
GO:0000006,high affinity zinc uptake transmembrane transporter activity,transporter activity,F
GO:0000007,low-affinity zinc ion transmembrane transporter activity,transporter activity,F
GO:0000009,"alpha-1,6-mannosyltransferase activity",other molecular function,F
GO:0000010,trans-hexaprenyltranstransferase activity,other molecular function,F
GO:0000011,vacuole inheritance,cell organization and biogenesis,P
GO:0000012,single strand break repair,stress response,P
GO:0000012,single strand break repair,DNA metabolism,P
GO:0000014,single-stranded DNA specific endodeoxyribonuclease activity,other molecular function,F
GO:0000015,phosphopyruvate hydratase complex,cytosol,C
GO:0000016,lactase activity,other molecular function,F
GO:0000017,alpha-glucoside transport,transport,P
GO:0000018,regulation of DNA recombination,DNA metabolism,P
GO:0000019,regulation of mitotic recombination,DNA metabolism,P
GO:0000022,mitotic spindle elongation,cell cycle and proliferation,P
GO:0000022,mitotic spindle elongation,cell organization and biogenesis,P
GO:0000023,maltose metabolic process,other metabolic processes,P
GO:0000024,maltose biosynthetic process,other metabolic processes,P
GO:0000025,maltose catabolic process,other metabolic processes,P
GO:0000026,"alpha-1,2-mannosyltransferase activity",other molecular function,F
GO:0000027,ribosomal large subunit assembly,cell organization and biogenesis,P
GO:0000028,ribosomal small subunit assembly,cell organization and biogenesis,P
GO:0000030,mannosyltransferase activity,other molecular function,F
GO:0000031,mannosylphosphate transferase activity,other molecular function,F
GO:0000032,cell wall mannoprotein biosynthetic process,other metabolic processes,P
GO:0000033,"alpha-1,3-mannosyltransferase activity",other molecular function,F
GO:0000034,adenine deaminase activity,other molecular function,F
GO:0000035,acyl binding,other molecular function,F
GO:0000036,acyl carrier activity,transporter activity,F
GO:0000038,very-long-chain fatty acid metabolic process,other metabolic processes,P
GO:0000040,low-affinity iron ion transport,transport,P
GO:0000041,transition metal ion transport,transport,P
GO:0000042,protein targeting to Golgi,transport,P
GO:0000045,autophagic vacuole formation,stress response,P
GO:0000045,autophagic vacuole formation,other metabolic processes,P
GO:0000045,autophagic vacuole formation,cell organization and biogenesis,P
GO:0000046,autophagic vacuole fusion,stress response,P
GO:0000046,autophagic vacuole fusion,other metabolic processes,P
GO:0000046,autophagic vacuole fusion,cell organization and biogenesis,P
GO:0000048,peptidyltransferase activity,other molecular function,F
GO:0000049,tRNA binding,nucleic acid binding activity,F
GO:0000050,urea cycle,other metabolic processes,P
GO:0000052,citrulline metabolic process,other metabolic processes,P
