accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR22294931	SRP407975	new	PRJNA900235	SAMN31685106	WSH053	AH1	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH053_S55_L001_R1_001.fastq.gz	WSH053_S55_L001_R2_001.fastq.gz				
SRR22294930	SRP407975	new	PRJNA900235	SAMN31685107	WSH065	AH2	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH065_S9_L001_R1_001.fastq.gz	WSH065_S9_L001_R2_001.fastq.gz				
SRR22294919	SRP407975	new	PRJNA900235	SAMN31685108	WSH066	AH3	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH066_S21_L001_R1_001.fastq.gz	WSH066_S21_L001_R2_001.fastq.gz				
SRR22294908	SRP407975	new	PRJNA900235	SAMN31685109	WSH067	AH4	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH067_S33_L001_R1_001.fastq.gz	WSH067_S33_L001_R2_001.fastq.gz				
SRR22294898	SRP407975	new	PRJNA900235	SAMN31685110	WSH069	AH5	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH069_S57_L001_R1_001.fastq.gz	WSH069_S57_L001_R2_001.fastq.gz				
SRR22294897	SRP407975	new	PRJNA900235	SAMN31685111	WSH070	AH6	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH070_S69_L001_R1_001.fastq.gz	WSH070_S69_L001_R2_001.fastq.gz				
SRR22294896	SRP407975	new	PRJNA900235	SAMN31685112	WSH071	AH7	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH071_S81_L001_R1_001.fastq.gz	WSH071_S81_L001_R2_001.fastq.gz				
SRR22294895	SRP407975	new	PRJNA900235	SAMN31685113	WSH072	AH8	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH072_S93_L001_R1_001.fastq.gz	WSH072_S93_L001_R2_001.fastq.gz				
SRR22294894	SRP407975	new	PRJNA900235	SAMN31685114	WSH073	AH9	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH073_S10_L001_R1_001.fastq.gz	WSH073_S10_L001_R2_001.fastq.gz				
SRR22294893	SRP407975	new	PRJNA900235	SAMN31685115	WSH074	AH10	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH074_S22_L001_R1_001.fastq.gz	WSH074_S22_L001_R2_001.fastq.gz				
SRR22294929	SRP407975	new	PRJNA900235	SAMN31685116	WSH075	AH11	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH075_S34_L001_R1_001.fastq.gz	WSH075_S34_L001_R2_001.fastq.gz				
SRR22294928	SRP407975	new	PRJNA900235	SAMN31685117	WSH054	AH12	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH054_S67_L001_R1_001.fastq.gz	WSH054_S67_L001_R2_001.fastq.gz				
SRR22294927	SRP407975	new	PRJNA900235	SAMN31685118	WSH076	AH13	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH076_S46_L001_R1_001.fastq.gz	WSH076_S46_L001_R2_001.fastq.gz				
SRR22294926	SRP407975	new	PRJNA900235	SAMN31685119	WSH077	AH14	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH077_S58_L001_R1_001.fastq.gz	WSH077_S58_L001_R2_001.fastq.gz				
SRR22294925	SRP407975	new	PRJNA900235	SAMN31685120	WSH078	AH15	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH078_S70_L001_R1_001.fastq.gz	WSH078_S70_L001_R2_001.fastq.gz				
SRR22294924	SRP407975	new	PRJNA900235	SAMN31685121	WSH079	AH16	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH079_S82_L001_R1_001.fastq.gz	WSH079_S82_L001_R2_001.fastq.gz				
SRR22294923	SRP407975	new	PRJNA900235	SAMN31685122	WSH080	AH17	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH080_S94_L001_R1_001.fastq.gz	WSH080_S94_L001_R2_001.fastq.gz				
SRR22294922	SRP407975	new	PRJNA900235	SAMN31685123	WSH081	AH18	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH081_S11_L001_R1_001.fastq.gz	WSH081_S11_L001_R2_001.fastq.gz				
SRR22294921	SRP407975	new	PRJNA900235	SAMN31685124	WSH055	AH19	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	ITS2 libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH055_S79_L001_R1_001.fastq.gz	WSH055_S79_L001_R2_001.fastq.gz				
