accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR22293605	SRP407975	new	PRJNA900235	SAMN31685106	WSH181	AH1	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH181_S107_L001_R1_001.fastq.gz	WSH181_S107_L001_R2_001.fastq.gz				
SRR22293604	SRP407975	new	PRJNA900235	SAMN31685107	WSH193	AH2	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH193_S156_L001_R1_001.fastq.gz	WSH193_S156_L001_R2_001.fastq.gz				
SRR22293593	SRP407975	new	PRJNA900235	SAMN31685108	WSH194	AH3	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH194_S168_L001_R1_001.fastq.gz	WSH194_S168_L001_R2_001.fastq.gz				
SRR22293582	SRP407975	new	PRJNA900235	SAMN31685109	WSH195	AH4	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH195_S180_L001_R1_001.fastq.gz	WSH195_S180_L001_R2_001.fastq.gz				
SRR22293572	SRP407975	new	PRJNA900235	SAMN31685110	WSH201	AH5	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH201_S193_L001_R1_001.fastq.gz	WSH201_S193_L001_R2_001.fastq.gz				
SRR22293571	SRP407975	new	PRJNA900235	SAMN31685111	WSH202	AH6	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH202_S200_L001_R1_001.fastq.gz	WSH202_S200_L001_R2_001.fastq.gz				
SRR22293570	SRP407975	new	PRJNA900235	SAMN31685112	WSH203	AH7	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH203_S207_L001_R1_001.fastq.gz	WSH203_S207_L001_R2_001.fastq.gz				
SRR22293569	SRP407975	new	PRJNA900235	SAMN31685113	WSH204	AH8	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH204_S214_L001_R1_001.fastq.gz	WSH204_S214_L001_R2_001.fastq.gz				
SRR22293568	SRP407975	new	PRJNA900235	SAMN31685114	WSH205	AH9	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH205_S221_L001_R1_001.fastq.gz	WSH205_S221_L001_R2_001.fastq.gz				
SRR22293567	SRP407975	new	PRJNA900235	SAMN31685115	WSH206	AH10	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH206_S228_L001_R1_001.fastq.gz	WSH206_S228_L001_R2_001.fastq.gz				
SRR22293603	SRP407975	new	PRJNA900235	SAMN31685116	WSH207	AH11	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH207_S235_L001_R1_001.fastq.gz	WSH207_S235_L001_R2_001.fastq.gz				
SRR22293602	SRP407975	new	PRJNA900235	SAMN31685117	WSH182	AH12	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH182_S119_L001_R1_001.fastq.gz	WSH182_S119_L001_R2_001.fastq.gz				
SRR22293601	SRP407975	new	PRJNA900235	SAMN31685118	WSH208	AH13	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH208_S242_L001_R1_001.fastq.gz	WSH208_S242_L001_R2_001.fastq.gz				
SRR22293600	SRP407975	new	PRJNA900235	SAMN31685119	WSH209	AH14	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH209_S194_L001_R1_001.fastq.gz	WSH209_S194_L001_R2_001.fastq.gz				
SRR22293599	SRP407975	new	PRJNA900235	SAMN31685120	WSH210	AH15	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH210_S201_L001_R1_001.fastq.gz	WSH210_S201_L001_R2_001.fastq.gz				
SRR22293598	SRP407975	new	PRJNA900235	SAMN31685121	WSH211	AH16	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH211_S208_L001_R1_001.fastq.gz	WSH211_S208_L001_R2_001.fastq.gz				
SRR22293597	SRP407975	new	PRJNA900235	SAMN31685122	WSH212	AH17	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH212_S215_L001_R1_001.fastq.gz	WSH212_S215_L001_R2_001.fastq.gz				
SRR22293596	SRP407975	new	PRJNA900235	SAMN31685123	WSH213	AH18	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	16S libraries prepared by the Putnam Lab and sequenced at the RI-INBRE Molecular Informatics Core at the University of Rhode Island	fastq	WSH213_S222_L001_R1_001.fastq.gz	WSH213_S222_L001_R2_001.fastq.gz				
