accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR22293483	SRP407975	new	PRJNA900235	SAMN31685106	AH1	AH1	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH1_S32_L002_R1_001.fastq.gz					
SRR22293482	SRP407975	new	PRJNA900235	SAMN31685107	AH2	AH2	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH2_S33_L002_R1_001.fastq.gz					
SRR22293471	SRP407975	new	PRJNA900235	SAMN31685108	AH3	AH3	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH3_S34_L002_R1_001.fastq.gz					
SRR22293460	SRP407975	new	PRJNA900235	SAMN31685109	AH4	AH4	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH4_S35_L002_R1_001.fastq.gz					
SRR22293450	SRP407975	new	PRJNA900235	SAMN31685110	AH5	AH5	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH5_S36_L002_R1_001.fastq.gz					
SRR22293449	SRP407975	new	PRJNA900235	SAMN31685111	AH6	AH6	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH6_S37_L002_R1_001.fastq.gz					
SRR22293448	SRP407975	new	PRJNA900235	SAMN31685112	AH7	AH7	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH7_S38_L002_R1_001.fastq.gz					
SRR22293447	SRP407975	new	PRJNA900235	SAMN31685113	AH8	AH8	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH8_S39_L002_R1_001.fastq.gz					
SRR22293446	SRP407975	new	PRJNA900235	SAMN31685114	AH9	AH9	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH9_S40_L002_R1_001.fastq.gz					
SRR22293445	SRP407975	new	PRJNA900235	SAMN31685115	AH10	AH10	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH10_S41_L002_R1_001.fastq.gz					
SRR22293481	SRP407975	new	PRJNA900235	SAMN31685116	AH11	AH11	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH11_S42_L002_R1_001.fastq.gz					
SRR22293480	SRP407975	new	PRJNA900235	SAMN31685117	AH12	AH12	OTHER	TRANSCRIPTOMIC	RANDOM PCR	single	ILLUMINA	Illumina NovaSeq 6000	TagSeq library strategy; TagSeq libraries prepared by the Putnam Lab and sequenced at the University of Texas Austin Genomic Sequencing and Analysis Facility	fastq	AH12_S43_L002_R1_001.fastq.gz					
