GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm,pattern,percHits
GO:0002181,3.2975293372877996e-32,1,73,93,cytoplasmic translation,BP,3.1047887475233283e-28,cytoplasmic translation,Late,78.49462365591397
GO:0006614,5.217184531849123e-24,1,50,61,SRP-dependent cotranslational protein targeting to membrane,BP,1.9648960383850166e-20,SRP-dependent cotranslational protein targeting to membrane,Late,81.9672131147541
GO:0006613,7.866116674260175e-23,1,51,65,cotranslational protein targeting to membrane,BP,1.645853812144371e-19,SRP-dependent cotranslational protein targeting to membrane,Late,78.46153846153847
GO:0045047,4.938345280832997e-22,1,55,75,protein targeting to ER,BP,9.299397998336619e-19,SRP-dependent cotranslational protein targeting to membrane,Late,73.33333333333333
GO:0072599,3.3178492683958518e-21,1,56,79,establishment of protein localization to endoplasmic reticulum,BP,5.679856324832934e-18,SRP-dependent cotranslational protein targeting to membrane,Late,70.88607594936708
GO:0070972,1.7747177283927498e-19,1,58,88,protein localization to endoplasmic reticulum,BP,2.570746887951067e-16,SRP-dependent cotranslational protein targeting to membrane,Late,65.9090909090909
GO:0000184,1.2970998688932768e-18,1,52,76,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,1.7446919736520929e-15,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,68.42105263157895
GO:0006412,5.7336574449693965e-18,1,111,242,translation,BP,7.19803355641458e-15,cytoplasmic translation,Late,45.867768595041326
GO:0043043,1.1362884357569127e-17,1,114,253,peptide biosynthetic process,BP,1.2586733843375543e-14,cytoplasmic translation,Late,45.059288537549406
GO:0006612,1.0577660283595848e-16,1,55,89,protein targeting to membrane,BP,1.1065995600021858e-13,SRP-dependent cotranslational protein targeting to membrane,Late,61.79775280898876
GO:0043604,7.847800151970324e-16,1,125,301,amide biosynthetic process,BP,7.777996034829115e-13,cytoplasmic translation,Late,41.52823920265781
GO:0006518,1.2197306608117523e-15,1,126,306,peptide metabolic process,BP,1.1484374036873056e-12,cytoplasmic translation,Late,41.17647058823529
GO:0043603,2.5118323228570696e-14,1,155,417,amide metabolic process,BP,2.1500142941691585e-11,cytoplasmic translation,Late,37.170263788968825
GO:0006413,2.6725037101584743e-14,1,56,100,translational initiation,BP,2.1880833637388793e-11,cytoplasmic translation,Late,56.00000000000001
GO:0090150,1.6169102574192223e-11,1,64,136,establishment of protein localization to membrane,BP,1.1710783483638991e-8,SRP-dependent cotranslational protein targeting to membrane,Late,47.05882352941176
GO:1901566,4.812256174902912e-11,1,218,693,organonitrogen compound biosynthetic process,BP,3.3562813344295094e-8,organonitrogen compound biosynthetic process,Late,31.457431457431458
GO:0006119,1.9572727987508566e-10,0.99999999996881,37,64,oxidative phosphorylation,BP,1.316335859759907e-7,oxidative phosphorylation,Late,57.8125
GO:0046034,6.34279479467154e-10,0.9999999998244248,55,117,ATP metabolic process,BP,4.118660992360682e-7,ATP metabolic process,Late,47.008547008547005
GO:0000956,1.0458171722266054e-9,0.999999999691345,59,130,nuclear-transcribed mRNA catabolic process,BP,6.564594390066404e-7,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,45.38461538461539
GO:0009205,2.2204223321282475e-9,0.9999999992771822,61,139,purine ribonucleoside triphosphate metabolic process,BP,1.3487991269776462e-6,ATP metabolic process,Late,43.884892086330936
GO:0009144,2.919299306353436e-9,0.9999999990304292,62,143,purine nucleoside triphosphate metabolic process,BP,1.6415668213855149e-6,ATP metabolic process,Late,43.35664335664335
GO:0009199,2.963903771818146e-9,0.9999999990151796,62,143,ribonucleoside triphosphate metabolic process,BP,1.6415668213855149e-6,ATP metabolic process,Late,43.35664335664335
GO:0044281,4.284862269545792e-9,1,258,884,small molecule metabolic process,BP,2.305378325651909e-6,small molecule metabolic process,Late,29.185520361990953
GO:0009141,1.2513713042266572e-8,0.9999999954385996,64,154,nucleoside triphosphate metabolic process,BP,6.2012034289189945e-6,ATP metabolic process,Late,41.55844155844156
GO:0006402,1.2851167675748984e-8,0.9999999955146543,60,139,mRNA catabolic process,BP,6.205136884667413e-6,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,43.16546762589928
GO:0006605,1.3671706545820691e-8,0.9999999944634114,77,196,protein targeting,BP,6.436297649108735e-6,SRP-dependent cotranslational protein targeting to membrane,Late,39.285714285714285
GO:0019693,2.0103271111233705e-8,1,91,250,ribose phosphate metabolic process,BP,9.233285324283947e-6,ATP metabolic process,Late,36.4
GO:0006120,2.777751012416317e-8,0.9999999976861936,18,24,"mitochondrial electron transport, NADH to ubiquinone",BP,1.2454245074955157e-5,oxidative phosphorylation,Late,75
GO:0009150,1.4254382716556118e-7,1,82,227,purine ribonucleotide metabolic process,BP,5.835310455118874e-5,ATP metabolic process,Late,36.12334801762114
GO:0006163,1.5462933889474857e-7,1,83,231,purine nucleotide metabolic process,BP,5.835573806489756e-5,organonitrogen compound biosynthetic process,Late,35.93073593073593
GO:0042773,1.549459350669045e-7,0.9999999718002228,25,43,ATP synthesis coupled electron transport,BP,5.835573806489756e-5,oxidative phosphorylation,Late,58.139534883720934
GO:0042775,1.549459350669045e-7,0.9999999718002228,25,43,mitochondrial ATP synthesis coupled electron transport,BP,5.835573806489756e-5,oxidative phosphorylation,Late,58.139534883720934
GO:0006753,1.8206260320850245e-7,1,107,320,nucleoside phosphate metabolic process,BP,6.593117078883287e-5,small molecule metabolic process,Late,33.4375
GO:0009126,2.0208079871686998e-7,0.9999999233452233,57,140,purine nucleoside monophosphate metabolic process,BP,7.047006519698848e-5,ATP metabolic process,Late,40.714285714285715
GO:0009167,2.0208079871686998e-7,0.9999999233452233,57,140,purine ribonucleoside monophosphate metabolic process,BP,7.047006519698848e-5,ATP metabolic process,Late,40.714285714285715
GO:0009117,2.3616136037158978e-7,1,105,314,nucleotide metabolic process,BP,7.941347459209656e-5,small molecule metabolic process,Late,33.43949044585987
GO:0006082,2.6834730822907897e-7,1,145,469,organic acid metabolic process,BP,8.865347651336466e-5,small molecule metabolic process,Late,30.916844349680172
GO:0072521,4.269406271312148e-7,1,89,257,purine-containing compound metabolic process,BP,1.296728862823856e-4,organonitrogen compound biosynthetic process,Late,34.63035019455253
GO:0043436,8.378757226031892e-7,1,141,462,oxoacid metabolic process,BP,2.4653183956782274e-4,small molecule metabolic process,Late,30.519480519480517
GO:0009259,1.262654695020376e-6,0.999999579699334,82,236,ribonucleotide metabolic process,BP,3.2571302139628355e-4,ATP metabolic process,Late,34.74576271186441
GO:0009161,1.338260923277998e-6,0.999999450098944,57,147,ribonucleoside monophosphate metabolic process,BP,3.3601055261663976e-4,ATP metabolic process,Late,38.775510204081634
GO:0006401,2.048333800214703e-6,0.99999912224424,60,157,RNA catabolic process,BP,5.009373219719879e-4,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,38.21656050955414
GO:0019752,2.785409743752695e-6,0.9999986510149173,128,415,carboxylic acid metabolic process,BP,6.63950011197557e-4,small molecule metabolic process,Late,30.843373493975907
GO:0006091,4.855083846835606e-6,0.9999979345572636,73,211,generation of precursor metabolites and energy,BP,0.00102159876540555,oxidative phosphorylation,Late,34.59715639810427
GO:0009123,4.857813595946156e-6,0.9999978538672863,59,159,nucleoside monophosphate metabolic process,BP,0.00102159876540555,ATP metabolic process,Late,37.10691823899371
GO:0022904,7.226033672917566e-6,0.9999981007165356,26,53,respiratory electron transport chain,BP,0.00143235200099695,oxidative phosphorylation,Late,49.056603773584904
GO:0019362,7.505942145209678e-6,0.9999977077250084,31,68,pyridine nucleotide metabolic process,BP,0.00145715872717982,organonitrogen compound biosynthetic process,Late,45.588235294117645
GO:0046496,7.505942145209678e-6,0.9999977077250084,31,68,nicotinamide nucleotide metabolic process,BP,0.00145715872717982,organonitrogen compound biosynthetic process,Late,45.588235294117645
GO:0042593,9.12709900610001e-6,0.999996438824606,44,110,glucose homeostasis,BP,0.00173608486246332,glucose homeostasis,Late,40
GO:0042255,9.905920161904404e-6,0.9999973642707684,26,52,ribosome assembly,BP,0.00182880767224335,ribosome assembly,Late,50
GO:0034655,1.1338142812168928e-5,0.9999945077578511,79,234,nucleobase-containing compound catabolic process,BP,0.00207289871161119,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Late,33.76068376068376
GO:0022900,1.154498354344781e-5,0.999995810549822,38,92,electron transport chain,BP,0.00209041908756409,oxidative phosphorylation,Late,41.30434782608695
GO:0000028,1.1995661088063906e-5,0.9999987719753816,13,18,ribosomal small subunit assembly,BP,0.00215133613285077,ribosome assembly,Late,72.22222222222221
