GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0051276,1.4008301932153902e-34,1,223,619,chromosome organization,BP,5.275806673687803e-31
GO:0019219,9.207755666047723e-30,1,390,1429,regulation of nucleobase-containing compound metabolic process,BP,2.889854115789078e-26
GO:0006259,5.802956661292833e-26,1,165,455,DNA metabolic process,BP,1.561078241268648e-22
GO:0060255,8.163153561138064e-26,1,534,2237,regulation of macromolecule metabolic process,BP,1.921504308872386e-22
GO:0051171,1.8244968544327756e-25,1,501,2067,regulation of nitrogen compound metabolic process,BP,3.817455585091511e-22
GO:0051252,2.4041888646529866e-25,1,349,1290,regulation of RNA metabolic process,BP,4.527328051028038e-22
GO:0080090,6.916553449538825e-25,1,512,2136,regulation of primary metabolic process,BP,1.0853801500688801e-21
GO:0090304,2.2276984001702695e-24,1,360,1357,nucleic acid metabolic process,BP,2.6218617858503966e-21
GO:0007049,6.043617507877895e-23,1,231,768,cell cycle,BP,5.690368064542432e-20
GO:0019222,6.975503616034157e-23,1,560,2436,regulation of metabolic process,BP,6.255033742549485e-20
GO:0031323,1.3018491883948106e-22,1,518,2214,regulation of cellular metabolic process,BP,1.114323730302849e-19
GO:2000112,7.5682281214843885e-22,1,355,1376,regulation of cellular macromolecule biosynthetic process,BP,6.196404511116196e-19
GO:0010468,9.313633633852224e-22,1,406,1636,regulation of gene expression,BP,7.307709789961301e-19
GO:0009889,1.5838268912052634e-21,1,381,1513,regulation of biosynthetic process,BP,1.1930017675314526e-18
GO:0031326,2.1475723413620572e-21,1,374,1480,regulation of cellular biosynthetic process,BP,1.555420567699573e-18
GO:0010556,3.0548926833867167e-21,1,364,1432,regulation of macromolecule biosynthetic process,BP,2.130617930402047e-18
GO:0006325,1.3500945558749483e-20,1,136,380,chromatin organization,BP,9.079868064886126e-18
GO:0022402,2.6046361752681414e-20,1,211,709,cell cycle process,BP,1.5821904456927217e-17
GO:2001141,7.557131686736128e-20,1,307,1169,regulation of RNA biosynthetic process,BP,4.4471358372790005e-17
GO:0050794,1.0151101483563285e-19,1,721,3429,regulation of cellular process,BP,5.792587637484249e-17
GO:1903506,1.1418686989019785e-19,1,306,1167,regulation of nucleic acid-templated transcription,BP,6.324273373242105e-17
GO:0006355,1.4236460707027861e-19,1,301,1144,regulation of DNA-templated transcription,BP,7.659622616401191e-17
GO:0000278,1.7567560749758164e-17,1,168,550,mitotic cell cycle,BP,8.89051410970647e-15
GO:0033044,1.8627112156602992e-17,1,100,265,regulation of chromosome organization,BP,8.994029462076692e-15
GO:0051726,2.0588365266553712e-17,1,206,725,regulation of cell cycle,BP,9.692487658361824e-15
GO:0050789,2.4043906714789978e-17,1,753,3679,regulation of biological process,BP,1.1043190423078294e-14
GO:0016570,3.5000781010253575e-17,1,88,219,histone modification,BP,1.5692850171525834e-14
GO:0006974,3.874562753798122e-17,1,138,424,cellular response to DNA damage stimulus,BP,1.696788167831917e-14
GO:0043170,5.006814557308891e-17,1,612,2857,macromolecule metabolic process,BP,2.095184998415194e-14
GO:0048523,1.3361012237179674e-16,1,439,1923,negative regulation of cellular process,BP,4.933357283104518e-14
GO:0045934,4.295398971219232e-16,1,184,637,negative regulation of nucleobase-containing compound metabolic process,BP,1.526163359000554e-13
GO:1903047,6.57294895205847e-16,1,149,484,mitotic cell cycle process,BP,2.2921333651150564e-13
GO:0000280,3.394886037231713e-15,1,94,260,nuclear division,BP,1.1623472539474616e-12
GO:0051172,3.966891376338769e-15,1,254,990,negative regulation of nitrogen compound metabolic process,BP,1.3105356404883397e-12
GO:0065007,6.969423870987114e-15,1,787,3952,biological regulation,BP,2.262779670940661e-12
GO:0010604,8.815783986754012e-15,1,323,1345,positive regulation of macromolecule metabolic process,BP,2.7668338042427467e-12
GO:0031324,1.2168286232560566e-14,1,269,1073,negative regulation of cellular metabolic process,BP,3.756409804022099e-12
GO:0048285,1.3592655857724261e-14,1,96,273,organelle fission,BP,4.128440362206542e-12
GO:0048522,1.823887421022966e-14,1,462,2098,positive regulation of cellular process,BP,5.451686353219599e-12
GO:0048519,4.818036299393442e-14,1,467,2138,negative regulation of biological process,BP,1.4176318992793423e-11
GO:0006139,6.157852715613729e-14,1,388,1700,nucleobase-containing compound metabolic process,BP,1.7839772998111096e-11
GO:0044260,6.749423877558673e-14,1,513,2384,cellular macromolecule metabolic process,BP,1.897527599639709e-11
GO:0048518,6.751332864736897e-14,1,500,2324,positive regulation of biological process,BP,1.897527599639709e-11
GO:0045935,6.8613327804868e-14,1,208,784,positive regulation of nucleobase-containing compound metabolic process,BP,1.9000846704315727e-11
GO:0006260,8.46556792740453e-14,1,63,151,DNA replication,BP,2.2452832343796435e-11
GO:0009893,1.0335670130411066e-13,1,335,1431,positive regulation of metabolic process,BP,2.7032083920245944e-11
