Measurement Name :,0724_Run1,,Generated On :,"24/07/2020, 19:39:20",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
24.07.20 19:10:26,0.03,216.81,214.96,227.08,240.07,202.75,206.09,214.65,234.34,211.27,180.46,209.13,220.21,210.35,189.88,205.78,234.34,210.66,198.53,192.25,212.5,234.65,191.96,235.93,232.75,,27.8,965,34,28.41,
24.07.20 19:10:42,0.3,210.66,207,223.64,241.03,224.58,207.3,217.12,231.8,211.58,234.34,233.7,227.08,233.07,205.78,225.51,240.07,182.51,215.57,242.64,221.77,213.11,203.66,244.89,203.05,,27.8,965,34,28.39,
24.07.20 19:10:57,0.55,186.33,192.25,213.73,212.19,188.69,191.96,195.24,198.23,194.94,191.36,216.5,217.43,179.29,183.1,203.96,187.22,175.8,185.74,209.13,194.34,168.88,204.57,194.34,178.13,,27.8,965,34,28.38,
24.07.20 19:11:12,0.8,229.91,211.88,203.96,224.26,200.04,191.36,216.19,208.52,194.64,194.94,200.64,218.97,196.73,193.15,221.77,209.44,174.65,190.77,190.18,199.73,228.34,190.18,217.74,205.48,,27.8,965,34,28.38,
24.07.20 19:11:27,1.05,204.87,210.97,200.64,239.11,209.44,194.04,202.45,241.67,203.36,188.69,203.36,214.96,224.58,202.15,203.96,212.19,194.94,219.28,204.87,210.35,189.58,196.43,218.97,184.27,,27.8,965,34,28.38,
24.07.20 19:11:42,1.3,193.15,214.34,227.71,246.83,201.54,203.96,230.86,237.84,230.86,208.52,223.02,232.75,225.2,225.51,223.33,211.27,212.5,198.23,202.75,230.23,194.94,251.69,242.64,234.65,,27.8,965,34,28.38,
24.07.20 19:11:57,1.55,164.59,201.84,194.64,216.5,159.76,181.34,189.58,207.61,170.03,209.13,197.63,195.24,186.92,175.51,205.78,171.18,164.02,179,186.92,183.68,217.12,169.17,211.88,211.88,,27.8,965,34,28.38,
24.07.20 19:12:12,1.8,204.57,200.04,216.81,232.44,203.05,181.63,192.55,222.08,192.25,201.54,218.97,211.58,192.55,200.64,219.59,193.15,160.9,196.43,208.83,205.17,206.09,200.04,210.97,215.88,,27.8,965,34,28.39,
24.07.20 19:12:27,2.05,219.9,220.53,214.96,235.93,216.81,208.22,229.6,226.45,215.57,213.73,246.18,229.6,193.45,194.94,193.45,209.44,223.95,191.07,201.84,199.73,230.23,188.4,227.71,199.73,,27.8,965,34,28.4,
24.07.20 19:12:42,2.3,216.81,208.83,215.27,228.97,216.81,188.4,225.2,233.7,212.5,223.95,245.86,220.84,214.96,206.09,226.14,216.19,204.26,215.27,220.84,215.57,214.34,197.03,215.57,206.69,,27.8,965,34,28.4,
24.07.20 19:12:57,2.55,204.57,187.81,214.96,240.39,192.85,198.53,212.5,232.44,211.88,223.02,212.19,225.51,202.15,187.51,216.19,227.71,189.58,193.74,206.39,219.59,190.47,181.92,211.88,201.84,,27.8,965,34,28.41,
24.07.20 19:13:12,2.8,215.27,211.58,217.12,223.95,206.69,196.73,231.8,242.64,238.47,203.96,198.53,231.17,209.13,188.1,199.73,210.35,191.07,208.83,217.12,203.66,210.97,183.98,226.45,189.58,,27.8,965,34,28.43,
24.07.20 19:13:27,3.05,236.56,228.02,239.11,257.25,228.97,223.95,240.39,237.84,206.69,241.67,264.19,252.02,243.6,221.46,268.51,233.39,226.77,263.52,208.52,218.35,237.52,220.21,252.67,215.27,,27.8,965,34,28.43,
24.07.20 19:13:42,3.3,194.34,205.17,203.96,224.26,223.02,199.73,209.13,227.4,183.98,205.78,217.74,212.8,190.47,197.03,210.66,211.58,154.97,200.94,207.91,204.87,191.96,181.34,199.43,201.84,,27.8,965,34,28.47,
24.07.20 19:13:57,3.55,215.27,216.5,240.39,227.4,197.93,205.78,221.15,201.24,208.83,224.26,241.35,231.17,186.92,185.45,226.45,203.96,227.08,223.33,202.75,218.66,221.15,209.44,211.27,212.5,,27.8,965,34,28.47,
24.07.20 19:14:12,3.8,211.58,223.95,240.39,248.45,207.91,216.81,207.3,244.57,218.97,219.28,215.27,225.51,194.64,217.12,224.89,217.12,198.23,214.96,212.5,213.73,211.58,224.26,227.71,215.57,,27.8,965,34,28.47,
24.07.20 19:14:27,4.05,212.8,224.58,228.34,246.83,167.73,205.17,226.14,227.4,196.73,214.65,208.52,220.53,209.44,222.39,226.77,196.13,191.07,184.86,212.8,226.77,192.85,182.22,226.45,211.58,,27.8,965,34,28.49,
24.07.20 19:14:42,4.3,196.73,197.33,205.78,220.84,194.64,209.13,229.91,214.34,207.3,224.89,243.28,190.77,196.73,172.04,212.5,202.15,197.63,185.15,201.54,198.83,202.15,206.69,212.5,208.52,,27.8,965,34,28.51,
24.07.20 19:14:57,4.55,218.04,228.97,221.77,228.65,201.24,205.48,227.4,241.67,189.58,211.58,226.14,233.39,194.04,183.68,217.74,224.89,207.91,210.05,230.86,218.35,225.51,222.39,233.7,207.3,,27.8,965,34,28.51,
24.07.20 19:15:12,4.8,221.15,211.88,260.22,252.02,218.66,179.88,239.75,228.02,213.42,196.43,203.36,241.35,224.58,204.57,231.17,212.8,216.5,205.48,234.34,228.34,213.42,219.59,234.02,234.02,,27.8,965,34,28.51,
24.07.20 19:15:27,5.05,228.97,229.28,210.97,221.15,220.84,197.93,186.33,224.89,207.61,191.66,205.78,203.05,222.08,179,191.07,237.84,170.03,208.83,238.79,188.99,210.97,202.75,207.91,195.54,,27.8,965,34,28.55,
24.07.20 19:15:42,5.3,183.1,212.8,225.2,203.05,202.45,185.15,224.26,226.77,181.05,192.85,198.83,212.5,166.3,178.13,204.26,205.78,188.1,202.75,188.1,223.02,182.22,174.94,229.6,197.93,,27.8,965,34,28.55,
24.07.20 19:15:58,5.57,213.73,235.61,212.5,224.89,185.15,211.58,228.65,221.46,213.11,202.45,235.93,229.91,195.83,170.03,203.96,218.66,185.15,218.97,236.56,210.66,198.23,190.77,229.6,198.83,,27.8,965,34,28.57,
24.07.20 19:16:13,5.82,221.77,242.96,230.23,231.17,192.85,201.84,253.32,242.64,210.05,214.34,243.92,223.02,240.39,223.02,199.73,222.08,207,199.43,214.96,219.9,214.03,221.77,241.67,195.83,,27.8,965,34,28.58,
24.07.20 19:16:28,6.07,217.43,208.83,236.88,233.07,226.77,188.99,237.2,224.89,194.34,199.43,200.64,218.04,180.75,180.46,198.23,229.6,200.04,235.29,234.34,203.66,212.19,206.39,235.29,209.74,,27.8,965,34,28.61,
24.07.20 19:16:43,6.32,209.13,224.58,198.53,234.65,201.84,203.05,229.28,236.24,216.5,206.39,210.05,234.34,195.24,203.96,220.84,223.95,200.64,216.81,217.12,211.58,215.88,203.66,215.27,211.58,,27.8,965,34,28.61,
24.07.20 19:16:58,6.57,229.28,213.73,241.35,244.57,241.67,219.28,223.02,257.91,193.74,238.79,220.21,237.84,204.26,206.09,219.9,228.34,220.21,237.2,234.02,212.8,207,214.34,246.83,217.74,,27.8,965,34,28.63,
24.07.20 19:17:13,6.82,205.17,203.66,191.66,215.27,200.34,201.24,217.74,232.75,188.4,202.75,230.86,217.43,229.91,209.74,188.99,186.92,189.29,200.64,210.66,201.54,228.02,194.64,210.05,221.77,,27.8,965,34,28.65,
24.07.20 19:17:28,7.07,217.12,219.59,249.09,249.74,213.42,210.97,225.83,237.52,211.27,233.39,227.4,232.75,208.83,188.99,219.59,222.08,203.96,221.46,219.59,221.46,214.96,240.39,217.12,215.88,,27.8,965,34,28.65,
24.07.20 19:17:43,7.32,201.24,211.27,241.35,218.97,186.33,229.28,224.58,227.71,223.33,206.69,223.33,213.11,205.17,197.63,208.83,202.45,193.15,203.36,235.61,198.83,204.26,187.22,222.39,210.97,,27.8,965,34,28.68,
24.07.20 19:17:58,7.57,242.64,212.5,228.02,212.5,193.74,191.36,241.03,207.61,202.75,201.54,210.35,225.2,202.75,192.85,222.7,236.24,205.48,202.75,223.02,222.08,216.5,219.59,229.91,213.11,,27.8,965,34,28.69,
24.07.20 19:18:13,7.82,223.95,218.97,220.21,226.77,216.81,222.7,212.5,232.44,209.44,204.87,228.65,233.39,206.39,189.58,213.42,229.91,206.69,207.3,206.09,230.23,209.74,225.83,221.15,236.88,,27.8,965,34,28.71,
24.07.20 19:18:28,8.07,214.96,206.69,227.4,230.23,192.25,191.36,210.97,252.02,209.13,193.74,221.77,221.15,222.7,213.11,196.13,215.57,216.5,205.78,227.08,214.03,187.51,203.66,215.27,225.83,,27.8,965,34,28.71,
24.07.20 19:18:43,8.32,203.05,203.66,237.52,217.74,195.24,199.13,221.77,219.59,205.78,198.23,212.8,221.15,192.85,193.15,233.39,225.83,215.88,204.87,207,208.22,206.39,219.59,224.58,200.94,,27.8,965,34,28.74,
24.07.20 19:18:58,8.57,196.43,235.93,223.02,236.88,200.04,200.64,209.44,239.11,224.89,223.95,236.88,225.83,216.81,176.09,206.69,212.8,205.48,203.05,230.86,228.97,204.87,210.66,222.39,220.53,,27.8,965,34,28.75,
24.07.20 19:19:13,8.82,210.66,215.88,229.28,220.53,214.65,209.13,215.88,232.12,186.63,215.57,221.46,212.19,197.93,202.75,214.96,218.66,199.73,203.66,229.91,232.12,224.89,187.51,223.33,220.21,,27.8,965,34,28.76,
24.07.20 19:19:28,9.07,197.03,220.53,219.9,237.52,219.9,179.88,231.8,242,200.94,218.04,224.89,200.94,201.54,211.58,222.39,217.74,197.03,215.27,208.22,229.6,195.24,230.23,235.29,223.64,,27.8,965,34,28.78,
24.07.20 19:19:43,9.32,226.77,214.34,223.64,218.35,198.53,195.83,234.34,231.49,202.45,194.04,227.71,232.75,220.53,192.85,226.45,229.91,199.13,220.21,216.19,218.66,232.44,208.22,234.02,211.58,,27.8,965,34,28.79,
24.07.20 19:19:58,9.57,246.83,212.19,239.11,234.02,218.97,226.45,243.92,251.04,218.35,207.3,238.79,235.61,206.09,194.34,234.65,243.6,214.96,212.8,226.14,200.94,233.07,213.11,234.97,230.54,,27.8,965,34,28.8,
24.07.20 19:20:13,9.82,216.19,210.35,211.27,219.28,195.83,179,202.15,234.97,204.26,187.81,217.43,205.17,190.18,204.57,203.36,191.07,201.24,207,224.89,197.03,187.22,200.04,204.26,218.66,,27.8,965,34,28.82,
24.07.20 19:20:28,10.07,230.86,230.86,238.16,227.4,224.26,214.65,242.64,255.61,219.9,219.59,227.71,233.07,200.94,206.39,253.98,237.2,224.26,221.77,225.83,207.61,223.33,226.14,213.42,248.45,,27.8,965,34,28.85,
24.07.20 19:20:43,10.32,218.66,221.15,212.8,222.7,200.04,216.19,234.02,254.63,213.11,203.36,219.28,214.65,208.22,211.27,210.66,207.61,204.87,201.84,242,224.58,224.89,230.23,239.43,215.57,,27.8,965,34,28.86,
24.07.20 19:20:59,10.58,239.11,229.28,230.54,247.15,210.66,195.24,237.84,254.96,219.28,214.03,237.52,213.11,204.87,193.74,244.89,247.47,221.15,217.43,216.19,245.86,209.13,219.28,210.97,222.08,,27.8,965,34,28.86,
24.07.20 19:21:14,10.83,216.19,226.77,256.6,240.07,218.66,228.34,232.75,269.85,183.1,216.81,198.23,245.21,227.4,199.73,252.35,252.67,233.07,209.44,222.7,222.39,248.45,216.5,234.02,222.08,,27.8,965,34,28.88,
24.07.20 19:21:29,11.08,212.8,229.6,271.19,274.22,197.03,223.02,226.14,267.51,246.18,198.23,241.67,218.97,210.97,239.11,231.49,220.53,216.81,227.08,250.07,233.7,222.08,214.96,261.21,249.42,,27.8,965,34,28.9,
24.07.20 19:21:45,11.35,218.66,215.57,229.91,216.19,214.65,212.5,246.18,248.45,206.09,222.08,230.23,217.43,209.74,191.96,251.37,238.16,183.68,198.23,245.54,212.19,231.17,226.77,217.74,203.36,,27.8,965,34,28.91,
24.07.20 19:22:00,11.6,224.89,233.07,225.51,246.83,221.46,220.84,251.69,240.07,200.34,206.09,225.2,218.66,180.17,239.11,226.77,200.34,229.28,192.85,226.14,224.58,176.68,183.39,250.07,231.17,,27.8,965,34,28.93,
24.07.20 19:22:15,11.85,215.27,232.44,240.07,230.86,196.73,188.99,209.74,244.57,192.25,213.42,235.29,243.28,207.61,199.43,223.02,219.9,200.04,226.77,242.96,210.05,188.69,215.57,228.97,224.89,,27.8,965,34,28.94,
24.07.20 19:22:30,12.1,220.84,232.44,255.29,243.28,207.3,228.97,251.04,248.12,227.71,222.39,225.51,242.32,228.34,203.36,255.29,240.71,238.16,241.35,256.92,223.33,236.88,186.63,249.42,246.5,,27.8,965,34,28.97,
24.07.20 19:22:45,12.35,210.97,223.33,228.34,238.16,216.5,215.57,217.74,231.49,232.44,209.44,205.78,232.44,202.45,199.43,191.36,199.73,210.35,204.57,252.02,217.43,201.54,254.96,232.44,218.35,,27.8,965,34,28.97,
24.07.20 19:23:00,12.6,218.97,244.57,242.96,245.54,200.34,194.34,228.65,253.65,219.59,225.2,223.95,216.81,214.34,215.57,252.35,210.35,216.19,214.65,214.34,227.4,223.02,241.67,255.94,224.58,,27.8,965,34,29,
24.07.20 19:23:15,12.85,236.24,224.89,245.54,244.25,225.83,250.07,229.91,234.97,214.96,216.5,226.14,228.02,230.23,251.69,249.09,243.92,198.83,239.11,262.53,238.79,238.16,250.72,257.25,245.86,,27.8,965,34,29.01,
24.07.20 19:23:30,13.1,223.02,201.24,213.73,219.9,229.91,189.88,228.65,253,192.55,175.51,219.28,219.59,228.97,197.93,220.21,222.39,200.64,216.19,225.51,203.05,224.26,227.4,208.83,232.75,,27.8,965,34,29.01,
24.07.20 19:23:45,13.35,237.2,218.97,242.32,227.4,211.27,212.19,231.8,228.34,198.53,205.78,237.84,248.77,213.42,207,220.53,243.92,208.22,231.49,219.9,218.35,239.75,229.91,270.52,226.14,,27.8,965,34,29.04,
24.07.20 19:24:00,13.6,210.97,203.05,242,232.12,216.19,214.96,240.07,229.91,207.3,224.26,231.49,230.86,220.53,205.48,206.09,195.54,239.43,237.2,225.2,215.57,189.58,204.87,240.71,231.49,,27.8,965,34,29.04,
24.07.20 19:24:15,13.85,221.46,218.04,243.6,246.5,197.03,188.1,250.39,252.35,191.36,201.24,226.77,226.14,205.48,219.59,231.49,242.32,213.11,213.11,226.14,230.23,225.2,237.52,240.07,243.92,,27.8,965,34,29.07,
24.07.20 19:24:30,14.1,230.54,214.65,238.16,226.77,235.29,221.77,260.22,255.94,208.22,222.39,224.26,230.23,221.77,216.81,238.47,219.9,191.96,197.93,244.89,208.52,208.83,210.66,243.28,249.09,,27.8,965,34,29.08,
24.07.20 19:24:45,14.35,235.93,221.15,231.49,238.47,213.42,214.34,221.15,241.35,218.66,209.44,214.65,233.7,204.57,206.69,237.52,223.02,225.51,210.97,242,213.73,214.96,225.83,238.79,210.35,,27.8,965,34,29.1,
24.07.20 19:25:01,14.62,230.23,220.53,225.51,219.9,218.97,214.65,223.02,235.93,217.12,218.66,215.88,220.84,218.66,214.96,221.15,221.77,220.84,219.9,224.89,212.19,226.14,230.86,224.89,218.97,,27.8,965,34,29.11,
24.07.20 19:25:16,14.87,230.54,220.84,227.08,220.21,218.04,214.65,223.95,236.24,217.12,218.66,216.5,222.08,219.28,215.88,221.46,222.7,221.46,219.9,224.89,212.5,225.2,231.17,225.51,218.97,,27.8,965,34,29.08,
24.07.20 19:25:31,15.12,231.17,221.15,228.02,219.9,219.28,216.19,224.58,237.52,219.28,219.28,217.12,222.39,219.28,216.81,221.77,223.33,223.02,221.77,225.83,212.5,226.77,232.44,225.83,220.53,,27.8,965,34,29.05,
24.07.20 19:25:46,15.37,232.75,222.08,228.02,220.84,220.21,215.57,223.95,237.2,218.66,219.59,217.43,222.7,220.53,217.12,222.08,224.26,223.02,221.77,226.45,213.73,226.14,232.12,225.83,219.9,,27.8,965,34,29.01,
24.07.20 19:26:01,15.62,233.07,221.77,228.97,219.9,220.21,216.81,224.58,237.52,218.35,219.59,217.74,223.33,219.9,217.43,222.7,224.89,223.95,222.39,225.83,213.42,226.45,233.39,226.14,221.15,,27.8,965,34,29,
24.07.20 19:26:16,15.87,232.75,222.39,229.28,221.46,219.28,217.12,225.51,239.43,219.28,220.53,218.66,224.58,219.9,218.04,223.02,225.2,224.58,222.08,227.08,214.65,227.71,234.02,227.08,221.15,,27.8,965,34,28.96,
24.07.20 19:26:31,16.12,232.75,221.77,228.65,220.84,218.97,216.5,225.51,238.79,219.59,220.53,218.66,224.89,220.53,217.43,223.02,224.89,224.26,222.08,226.45,214.65,227.08,234.34,226.14,220.84,,27.8,965,34,28.94,
24.07.20 19:26:46,16.37,233.7,221.77,228.02,220.21,220.21,216.5,224.89,238.16,219.9,220.21,218.35,224.26,219.9,217.74,222.08,224.26,223.64,222.08,225.2,213.42,227.71,233.07,225.51,219.28,,27.8,965,34,28.93,
24.07.20 19:27:01,16.62,234.02,221.77,228.02,220.84,219.9,216.5,224.58,237.84,219.9,219.9,218.66,224.58,220.21,218.04,222.7,223.64,223.95,221.77,225.2,213.73,226.45,233.39,225.51,219.28,,27.8,965,34,28.9,
24.07.20 19:27:16,16.87,234.02,221.46,228.65,220.53,219.9,215.57,224.26,236.56,219.59,219.9,218.35,225.2,220.53,218.04,222.08,224.26,224.26,222.08,224.58,213.73,226.45,232.44,225.2,219.28,,27.8,965,34,28.9,
24.07.20 19:27:32,17.13,234.34,221.77,228.02,220.53,219.28,215.88,224.58,236.88,220.21,219.9,218.66,224.58,219.9,218.04,222.39,224.58,223.33,221.77,224.89,212.8,225.83,232.75,225.51,218.66,,27.8,965,34,28.91,
24.07.20 19:27:47,17.38,233.7,222.08,227.71,220.84,219.59,216.5,224.89,237.52,220.53,219.9,219.28,225.51,219.59,218.04,222.39,223.33,223.95,222.08,224.26,213.73,226.45,232.44,225.83,218.04,,27.8,965,34,28.94,
24.07.20 19:28:02,17.63,233.7,221.77,227.4,220.53,220.53,215.88,223.95,236.88,219.9,220.21,218.97,225.2,221.15,217.12,221.46,223.64,224.26,222.08,223.64,213.73,225.51,231.17,225.2,218.66,,27.8,965,34,28.91,
24.07.20 19:28:17,17.88,233.39,221.46,227.71,220.84,220.21,215.57,223.95,235.93,219.59,219.9,218.97,225.51,220.53,217.12,221.46,223.95,223.33,222.08,224.26,213.42,225.51,232.12,225.51,218.66,,27.8,965,34,28.9,
24.07.20 19:28:32,18.13,233.39,221.77,226.45,220.21,219.28,215.57,224.26,235.61,219.9,219.59,219.59,224.89,220.53,216.81,221.46,224.58,223.33,221.77,223.02,213.42,225.83,232.12,224.58,217.74,,27.8,965,34,28.88,
24.07.20 19:28:47,18.38,232.75,221.77,226.77,219.9,219.59,214.96,223.95,236.24,220.53,219.59,218.97,225.51,220.53,216.5,221.77,223.33,223.95,221.77,223.33,213.73,225.2,231.8,225.2,218.35,,27.8,965,34,28.86,
24.07.20 19:29:02,18.63,233.07,221.77,226.77,220.21,220.21,215.57,224.26,236.24,219.9,219.59,218.97,225.2,220.84,216.5,221.46,223.33,222.7,222.7,222.08,213.42,224.89,231.17,224.89,218.04,,27.8,965,34,28.85,
24.07.20 19:29:17,18.88,233.07,221.46,226.45,220.21,220.84,215.57,224.26,235.93,220.21,219.9,218.97,224.89,220.84,216.19,222.39,223.02,223.64,222.7,221.77,214.03,225.83,230.86,225.2,218.35,,27.8,965,34,28.82,
24.07.20 19:29:32,19.13,232.44,220.84,225.51,219.9,220.21,213.73,223.64,234.65,219.59,219.9,218.04,224.89,220.53,215.27,221.15,222.7,223.02,222.08,221.15,213.73,224.26,230.54,224.26,217.74,,27.8,965,34,28.82,
24.07.20 19:29:47,19.38,232.75,221.77,225.51,220.53,220.53,214.96,224.26,235.29,220.21,219.9,218.97,225.2,220.84,215.27,221.15,222.08,223.33,222.08,221.77,214.03,225.83,229.91,224.89,218.35,,27.8,965,34,28.79,
24.07.20 19:30:02,19.63,232.75,221.15,224.89,220.53,219.59,213.42,223.64,233.39,220.84,218.97,218.04,225.2,219.9,214.96,221.15,222.39,222.7,222.08,221.46,214.03,224.58,229.6,224.58,217.74,,27.8,965,34,28.78,
24.07.20 19:30:17,19.88,232.44,221.77,224.26,220.21,220.21,212.5,223.64,233.39,219.9,219.59,219.59,225.51,220.84,215.27,221.46,222.39,222.39,222.7,220.84,214.34,224.89,229.6,224.89,217.43,,27.8,965,34,28.78,
24.07.20 19:30:32,20.13,232.75,221.77,224.58,220.84,220.21,212.8,223.95,234.34,220.53,219.9,219.28,225.83,221.15,214.96,221.46,221.46,222.39,222.39,221.46,214.34,224.58,229.6,225.51,218.35,,27.8,965,34,28.76,
24.07.20 19:30:47,20.38,232.12,221.15,223.64,220.84,220.53,211.88,223.64,232.44,220.21,220.21,218.97,224.89,220.53,214.34,220.53,220.84,222.08,222.08,220.53,214.34,224.58,229.91,224.58,217.43,,27.8,965,34,28.75,
24.07.20 19:31:02,20.63,231.8,220.84,222.39,220.84,219.28,212.8,223.02,232.75,220.21,219.28,218.66,225.2,220.84,214.34,220.84,220.21,221.77,221.77,220.21,214.03,224.89,229.28,224.26,216.5,,27.8,965,34,28.72,
24.07.20 19:31:17,20.88,231.17,220.84,222.7,220.21,219.28,212.19,223.64,233.07,220.84,219.59,218.66,225.2,221.15,213.73,221.15,219.28,221.15,222.39,219.9,214.65,224.58,228.34,224.89,216.19,,27.8,965,34,28.72,
24.07.20 19:31:33,21.15,230.86,221.77,223.33,220.84,219.59,211.27,223.02,231.8,219.59,219.9,219.28,224.58,221.46,213.11,220.53,219.28,221.46,222.39,219.9,214.03,224.89,228.34,224.58,215.88,,27.8,965,34,28.71,
24.07.20 19:31:48,21.4,230.86,221.15,222.39,221.15,219.59,211.58,223.33,232.44,220.21,219.9,218.97,224.58,220.84,213.42,220.53,218.66,221.77,223.02,219.59,214.03,224.89,228.34,224.89,215.57,,27.8,965,34,28.71,
24.07.20 19:32:03,21.65,229.91,221.77,222.08,221.15,220.84,211.58,223.33,231.49,220.53,220.21,219.28,225.2,221.15,213.73,220.53,218.97,221.15,222.39,219.28,214.03,224.26,228.65,224.89,215.88,,27.8,965,34,28.69,
24.07.20 19:32:18,21.9,229.91,221.15,221.77,220.84,219.9,210.35,223.33,231.17,220.53,219.9,219.28,224.58,221.77,212.5,220.53,217.74,221.15,223.02,219.28,214.65,224.26,228.02,224.58,215.27,,27.8,965,34,28.68,
24.07.20 19:32:33,22.15,229.6,221.46,221.15,220.84,218.97,210.66,223.02,230.23,220.53,219.28,218.35,224.26,221.15,212.5,220.84,217.74,220.84,223.02,218.66,214.34,223.95,227.71,224.26,215.27,,27.8,965,34,28.68,
24.07.20 19:32:48,22.4,229.6,221.46,220.53,221.46,219.9,210.05,223.02,230.54,220.21,218.97,218.66,224.58,221.15,212.19,220.84,216.81,220.53,223.02,217.43,214.65,223.33,227.71,224.26,215.27,,27.8,965,34,28.66,
24.07.20 19:33:03,22.65,229.28,221.77,221.46,221.46,219.9,208.22,223.02,230.23,220.53,219.9,218.97,224.26,221.46,212.19,220.84,217.43,220.21,223.33,216.5,214.34,224.58,227.08,223.95,214.96,,27.8,965,34,28.65,
24.07.20 19:33:18,22.9,229.6,221.15,221.15,221.46,220.53,208.83,222.39,230.23,219.9,220.21,218.97,224.26,221.46,212.19,220.84,216.81,220.21,222.7,217.12,214.03,223.95,227.4,224.26,214.34,,27.8,965,34,28.64,
24.07.20 19:33:33,23.15,228.34,221.46,220.53,221.77,219.28,207.91,223.02,229.28,220.21,219.59,218.66,223.95,220.84,210.97,219.9,216.81,220.53,222.08,216.81,214.34,224.26,226.45,224.26,213.73,,27.8,965,34,28.63,
24.07.20 19:33:48,23.4,227.4,221.15,220.21,220.21,220.21,206.69,223.02,228.34,220.53,219.9,218.35,223.95,221.15,210.97,219.59,215.88,219.59,223.02,216.5,213.73,222.7,226.45,223.33,213.42,,27.8,965,34,28.61,
24.07.20 19:34:03,23.65,227.71,221.77,219.9,221.46,220.53,206.39,223.02,228.02,219.9,219.28,218.66,224.58,221.77,210.97,220.53,216.5,219.59,223.33,217.43,214.65,224.26,225.51,224.58,214.03,,27.8,965,34,28.6,
24.07.20 19:34:18,23.9,226.77,220.84,218.35,221.46,219.9,205.17,222.7,227.71,220.21,219.28,218.66,223.95,221.15,210.35,220.21,215.88,219.28,222.7,216.81,214.34,223.33,225.51,223.64,213.73,,27.8,965,34,28.6,
24.07.20 19:34:33,24.15,226.14,220.84,218.66,221.77,219.59,204.26,222.39,227.71,219.59,218.97,218.66,223.64,220.84,209.44,219.9,215.57,218.97,222.7,215.88,213.73,223.33,224.26,223.95,213.73,,27.8,965,34,28.58,
24.07.20 19:34:48,24.4,225.51,220.84,217.43,220.84,219.28,204.57,222.08,227.4,220.21,218.97,218.04,224.26,220.84,209.13,219.9,215.57,218.35,222.7,216.5,214.03,223.33,224.58,223.64,213.11,,27.8,965,34,28.58,
24.07.20 19:35:03,24.65,224.89,221.15,218.04,221.77,219.28,203.36,222.08,227.4,220.21,219.59,218.35,223.64,221.46,208.52,220.21,214.96,218.97,222.7,215.57,214.65,223.64,224.26,223.95,212.19,,27.8,965,34,28.58,
