Date,Sample.ID,Chamber.ID,Lifestage,dpf,Type,Salinity,Run,Volume,Org.Number,Notes
20200723,1,A1,Embryo,3,Sample,34,1,0.00008,6,
20200723,7,B1,Embryo,3,NA,34,1,0.00008,NA,
20200723,13,C1,Embryo,3,Sample,34,1,0.00008,6,
20200723,19,D1,Embryo,3,NA,34,1,0.00008,NA,
20200723,2,A2,Embryo,3,NA,34,1,0.00008,NA,
20200723,8,B2,Embryo,3,Sample,34,1,0.00008,6,
20200723,14,C2,Embryo,3,NA,34,1,0.00008,NA,
20200723,20,D2,Embryo,3,Sample,34,1,0.00008,6,
20200723,3,A3,Embryo,3,Blank,34,1,0.00008,NA,
20200723,9,B3,Embryo,3,NA,34,1,0.00008,NA,
20200723,15,C3,Embryo,3,Sample,34,1,0.00008,6,
20200723,21,D3,Embryo,3,NA,34,1,0.00008,NA,
20200723,4,A4,Embryo,3,NA,34,1,0.00008,NA,
20200723,10,B4,Embryo,3,Sample,34,1,0.00008,6,
20200723,16,C4,Embryo,3,NA,34,1,0.00008,NA,
20200723,22,D4,Embryo,3,Sample,34,1,0.00008,6,
20200723,5,A5,Embryo,3,Sample,34,1,0.00008,6,
20200723,11,B5,Embryo,3,NA,34,1,0.00008,NA,
20200723,17,C5,Embryo,3,Blank,34,1,0.00008,NA,
20200723,23,D5,Embryo,3,NA,34,1,0.00008,NA,
20200723,6,A6,Embryo,3,NA,34,1,0.00008,NA,
20200723,12,B6,Embryo,3,Sample,34,1,0.00008,6,
20200723,18,C6,Embryo,3,NA,34,1,0.00008,NA,
20200723,24,D6,Embryo,3,Sample,34,1,0.00008,6,
20200723,1,A1,Embryo,3,Sample,34,2,0.00008,6,
20200723,7,B1,Embryo,3,NA,34,2,0.00008,NA,
20200723,13,C1,Embryo,3,Sample,34,2,0.00008,6,
20200723,19,D1,Embryo,3,NA,34,2,0.00008,NA,
20200723,2,A2,Embryo,3,NA,34,2,0.00008,NA,
20200723,8,B2,Embryo,3,Sample,34,2,0.00008,6,
20200723,14,C2,Embryo,3,NA,34,2,0.00008,NA,
20200723,20,D2,Embryo,3,Sample,34,2,0.00008,6,
20200723,3,A3,Embryo,3,Blank,34,2,0.00008,NA,
20200723,9,B3,Embryo,3,NA,34,2,0.00008,NA,
20200723,15,C3,Embryo,3,Sample,34,2,0.00008,6,
20200723,21,D3,Embryo,3,NA,34,2,0.00008,NA,
20200723,4,A4,Embryo,3,NA,34,2,0.00008,NA,
20200723,10,B4,Embryo,3,Sample,34,2,0.00008,6,
20200723,16,C4,Embryo,3,NA,34,2,0.00008,NA,
20200723,22,D4,Embryo,3,Sample,34,2,0.00008,6,
20200723,5,A5,Embryo,3,Sample,34,2,0.00008,6,
20200723,11,B5,Embryo,3,NA,34,2,0.00008,NA,
20200723,17,C5,Embryo,3,Blank,34,2,0.00008,NA,
20200723,23,D5,Embryo,3,NA,34,2,0.00008,NA,
20200723,6,A6,Embryo,3,NA,34,2,0.00008,NA,
20200723,12,B6,Embryo,3,Sample,34,2,0.00008,6,
20200723,18,C6,Embryo,3,NA,34,2,0.00008,NA,
20200723,24,D6,Embryo,3,Sample,34,2,0.00008,6,
20200723,1,A1,Juvenile,40,Sample,34,3,0.00008,1,Number of individuals indicates number polyps in fusion
20200723,7,B1,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,13,C1,Juvenile,40,Sample,34,3,0.00008,1,Number of individuals indicates number polyps in fusion
20200723,19,D1,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,2,A2,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,8,B2,Juvenile,40,Blank,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,14,C2,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,20,D2,Juvenile,40,Sample,34,3,0.00008,2,Number of individuals indicates number polyps in fusion
20200723,3,A3,Juvenile,40,Sample,34,3,0.00008,2,Number of individuals indicates number polyps in fusion
20200723,9,B3,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,15,C3,Juvenile,40,Sample,34,3,0.00008,2,Number of individuals indicates number polyps in fusion
20200723,21,D3,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,4,A4,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,10,B4,Juvenile,40,Sample,34,3,0.00008,1,Number of individuals indicates number polyps in fusion
20200723,16,C4,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,22,D4,Juvenile,40,Blank,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,5,A5,Juvenile,40,Sample,34,3,0.00008,3,Number of individuals indicates number polyps in fusion
20200723,11,B5,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,17,C5,Juvenile,40,Sample,34,3,0.00008,3,Number of individuals indicates number polyps in fusion
20200723,23,D5,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,6,A6,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,12,B6,Juvenile,40,Sample,34,3,0.00008,3,Number of individuals indicates number polyps in fusion
20200723,18,C6,Juvenile,40,NA,34,3,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,24,D6,Juvenile,40,Sample,34,3,0.00008,4,Number of individuals indicates number polyps in fusion
20200723,1,A1,Juvenile,40,Sample,34,4,0.00008,4,Number of individuals indicates number polyps in fusion
20200723,7,B1,Juvenile,40,NA,34,4,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,13,C1,Juvenile,40,Sample,34,4,0.00008,4,Number of individuals indicates number polyps in fusion
20200723,19,D1,Juvenile,40,NA,34,4,0.00008,NA,Number of individuals indicates number polyps in fusion
20200723,2,A2,Juvenile,40,NA,34,4,0.00008,NA,Number of individuals indicates number polyps in fusion
