Tube Number,Date Sampled,Time Sampled,Stage,Volume,Reagent/buffer volume,Method,Destination,Notes,Initials,More Notes
F1,20-Jul,2250,Egg Fertilized,250uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,"All samples in each time point were taken from the same batch/concentration. If we need numbers of larvae/embryos, we can count from fixed samples and calculate amounts in other tubes."
F2,20-Jul,2250,Egg Fertilized,250uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F3,20-Jul,2250,Egg Fertilized,250uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F4,20-Jul,2250,Egg Fertilized,250uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F5,21-Jul,230,Embryo 1,100uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F6,21-Jul,230,Embryo 1,100uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F7,21-Jul,230,Embryo 1,100uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F8,21-Jul,230,Embryo 1,100uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F9,22-Jul,1100,Larvae 1,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,gastrula
F10,22-Jul,1100,Larvae 1,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F11,22-Jul,1100,Larvae 1,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F12,22-Jul,1100,Larvae 1,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,swimming now
F13,23-Jul,1400,Larvae 2,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F14,23-Jul,1400,Larvae 2,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F15,23-Jul,1400,Larvae 2,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F16,23-Jul,1400,Larvae 2,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F17,24-Jul,1800,Larvae 3,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F18,24-Jul,1800,Larvae 3,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F19,24-Jul,1800,Larvae 3,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F20,24-Jul,1800,Larvae 3,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F21,27-Jul,1600,Larvae 4,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F22,27-Jul,1600,Larvae 4,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F23,27-Jul,1600,Larvae 4,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F24,27-Jul,1600,Larvae 4,50uL,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F25,28-Jul,1200,Larvae 5,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,"Recruits are ""free"" recruits unattached"
F26,28-Jul,1200,Larvae 5,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F27,28-Jul,1200,Larvae 5,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F28,28-Jul,1200,Larvae 5,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F29,28-Jul,1200,Recruit 1,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F30,28-Jul,1200,Recruit 1,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F31,28-Jul,1200,Recruit 1,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F32,28-Jul,1200,Recruit 1,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F33,30-Jul,1200,Larvae 6,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F34,30-Jul,1200,Larvae 6,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F35,30-Jul,1200,Larvae 6,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F36,30-Jul,1200,Larvae 6,20-30 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F37,30-Jul,1200,Recruit 2,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F38,30-Jul,1200,Recruit 2,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F39,30-Jul,1200,Recruit 2,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
F40,30-Jul,1200,Recruit 2,15-20 individuals,,Flash Freeze,-80C,"Directly into liquid nitrogen, then to -80C",AH,
H1,20-Jul,2300,Eggs Fertilized,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H2,20-Jul,2300,Eggs Fertilized,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H3,20-Jul,2300,Eggs Fertilized,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H4,20-Jul,2300,Eggs Fertilized,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H5,21-Jul,230,Embryo 1,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H6,21-Jul,230,Embryo 1,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H7,21-Jul,230,Embryo 1,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H8,21-Jul,230,Embryo 1,100uL,1mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H9,22-Jul,1100,Larvae 1,20uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H10,22-Jul,1100,Larvae 1,20uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H11,22-Jul,1100,Larvae 1,20uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H12,22-Jul,1100,Larvae 1,20uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H13,23-Jul,1400,Larvae 2,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H14,23-Jul,1400,Larvae 2,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H15,23-Jul,1400,Larvae 2,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H16,23-Jul,1400,Larvae 2,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H17,24-Jul,1800,Larvae 3,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H18,24-Jul,1800,Larvae 3,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H19,24-Jul,1800,Larvae 3,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H20,24-Jul,1800,Larvae 3,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H21,27-Jul,1600,Larvae 4,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H22,27-Jul,1600,Larvae 4,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H23,27-Jul,1600,Larvae 4,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H24,27-Jul,1600,Larvae 4,50uL,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H25,28-Jul,1200,Larvae 5,20-30 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H26,28-Jul,1200,Larvae 5,20-30 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H27,28-Jul,1200,Larvae 5,20-30 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H28,28-Jul,1200,Larvae 5,20-30 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H29,28-Jul,1200,Recruit 1,15-20 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H30,28-Jul,1200,Recruit 1,15-20 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H31,28-Jul,1200,Recruit 1,15-20 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
H32,28-Jul,1200,Recruit 1,15-20 individuals,500mL 4% PFA,Fixation in 4% paraformaldehyde,4C,Moved to 70% ethanol after 14-24 hrs,AH,
