Metabolite Set,Total,Hits,Expect,P value,Holm P,FDR
Amino acids and peptides,723,13,0.189,9.96E-21,2.43E-18,2.43E-18
Purines,89,4,0.0233,1.01E-08,2.44E-06,1.23E-06
TCA acids,9,2,0.00236,2.42E-06,5.86E-04,1.97E-04
Organic phosphoric acids,11,2,0.00288,3.70E-06,8.91E-04,2.26E-04
Fatty Acids and Conjugates,3090,6,0.809,1.56E-04,0.0373,0.00759
Pyrimidines,78,2,0.0204,2.00E-04,0.0477,0.00812
Alkanolamines,3,1,7.86E-04,7.86E-04,0.187,0.0274
Sulfonic acids,4,1,0.00105,0.00105,0.248,0.032
Short-chain acids and derivatives,7,1,0.00183,0.00183,0.433,0.0497
Imidazoles,12,1,0.00314,0.00314,0.738,0.0766
Amines,21,1,0.0055,0.00549,1,0.122
Organic dicarboxylic acids,23,1,0.00603,0.00601,1,0.122
Phenylpropanoids,27,1,0.00707,0.00705,1,0.132
Indoles,36,1,0.00943,0.00939,1,0.164
Monosaccharides,97,1,0.0254,0.0251,1,0.408
Benzenes,151,1,0.0396,0.0388,1,0.592
Benzamides,1470,2,0.384,0.0567,1,0.814
Fatty esters,1870,2,0.49,0.0866,1,1
Fatty Acyls,1470,1,0.386,0.321,1,1
