"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006412",3.47327449872463e-06,0.999999658263349,116,118,"translation","BP"
"GO:0006457",0.000825926115403987,1,48,48,"protein folding","BP"
"GO:0006886",0.00834669410955091,0.9983953920739,61,63,"intracellular protein transport","BP"
"GO:0006357",0.012452231809594,1,30,30,"regulation of transcription by RNA polymerase II","BP"
"GO:0006281",0.0130105194424437,0.998356273165375,43,44,"DNA repair","BP"
"GO:0006511",0.0183427852253709,0.996067898969847,54,56,"ubiquitin-dependent protein catabolic process","BP"
"GO:0005975",0.0232950728973757,0.992450271516176,70,74,"carbohydrate metabolic process","BP"
"GO:0016579",0.0274290771955697,0.996050957465973,39,40,"protein deubiquitination","BP"
"GO:0005840",6.38213177469521e-05,0.999992372008577,95,97,"ribosome","CC"
"GO:0005634",0.00185669858688873,0.999123993416979,226,244,"nucleus","CC"
"GO:0005739",0.0056186290619832,1,34,34,"mitochondrion","CC"
"GO:0005737",0.0327720496679379,0.983024010841189,136,148,"cytoplasm","CC"
"GO:0003735",6.09981947594235e-06,0.999999166083298,125,128,"structural constituent of ribosome","MF"
"GO:0005524",0.000792823661426743,0.999478066669529,711,785,"ATP binding","MF"
"GO:0051082",0.00845467810946616,1,32,32,"unfolded protein binding","MF"
"GO:0000287",0.00905690751326324,1,34,34,"magnesium ion binding","MF"
"GO:0004386",0.0145401151736634,0.996174461212676,67,70,"helicase activity","MF"
"GO:0004843",0.0150798550864185,0.99804201776771,44,45,"thiol-dependent ubiquitin-specific protease activity","MF"
"GO:0030246",0.0184899277250636,1,28,28,"carbohydrate binding","MF"
"GO:0005096",0.0208398952596628,1,28,28,"GTPase activator activity","MF"
"GO:0005525",0.021641813754742,0.988249191074367,170,186,"GTP binding","MF"
"GO:0004674",0.0368796179496688,0.991173076051516,47,49,"protein serine/threonine kinase activity","MF"
"GO:0046982",0.0416056740754687,0.993543935916041,33,34,"protein heterodimerization activity","MF"
