"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006412",0.000148709737500433,0.999980722329762,116,118,"translation","BP"
"GO:0006457",0.00437513008056284,1,48,48,"protein folding","BP"
"GO:0005975",0.0123496667004096,0.997467810400727,72,74,"carbohydrate metabolic process","BP"
"GO:0006511",0.0164653368730372,0.997799206323135,55,56,"ubiquitin-dependent protein catabolic process","BP"
"GO:0006357",0.0342423292934666,1,30,30,"regulation of transcription by RNA polymerase II","BP"
"GO:0006886",0.0348878904943319,0.991617642852208,61,63,"intracellular protein transport","BP"
"GO:0006281",0.04460782495653,0.992850134058975,43,44,"DNA repair","BP"
"GO:0006334",0.0494148139371222,0.991970273331109,37,38,"nucleosome assembly","BP"
"GO:0005634",4.28097743928371e-05,1,235,244,"nucleus","CC"
"GO:0005840",0.00120644236330557,0.999811521122446,95,97,"ribosome","CC"
"GO:0005737",0.00936546393551787,0.996422640243234,141,148,"cytoplasm","CC"
"GO:0005739",0.0199575368965156,1,34,34,"mitochondrion","CC"
"GO:0005856",0.0314513557687359,1,31,31,"cytoskeleton","CC"
"GO:0000786",0.0332554477643619,0.995006961056032,41,42,"nucleosome","CC"
"GO:0003735",5.31420052540355e-05,0.999993634196971,126,128,"structural constituent of ribosome","MF"
"GO:0005525",0.00352396468757472,0.998625033297362,177,186,"GTP binding","MF"
"GO:0003676",0.00821922312980531,0.995318433274082,332,356,"nucleic acid binding","MF"
"GO:0005524",0.0130839018765785,0.990701428623145,722,785,"ATP binding","MF"
"GO:0004386",0.0195542291852664,0.995713337566576,68,70,"helicase activity","MF"
"GO:0000287",0.0245423441685502,1,34,34,"magnesium ion binding","MF"
"GO:0051082",0.0263654830708667,1,32,32,"unfolded protein binding","MF"
"GO:0004674",0.0309970740623626,0.995368692526033,48,49,"protein serine/threonine kinase activity","MF"
"GO:0003824",0.0317982671642555,0.989140031314011,85,89,"catalytic activity","MF"
"GO:0003677",0.0348993466602667,0.977740690340704,308,334,"DNA binding","MF"
"GO:0030246",0.0447618861336217,1,28,28,"carbohydrate binding","MF"
"GO:0003723",0.045344205930376,0.976190466636676,159,170,"RNA binding","MF"
"GO:0004843",0.045669934096884,0.992632387370647,44,45,"thiol-dependent ubiquitin-specific protease activity","MF"
"GO:0005096",0.0474119943414226,1,28,28,"GTPase activator activity","MF"
