"","moduleColor","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","1","GO:0003676",1.25127484010793e-09,1,170,356,"nucleic acid binding","MF"
"2","1","GO:0005515",1.44303286257847e-09,1,716,1801,"protein binding","MF"
"3","1","GO:0005634",2.63270261808717e-08,1,121,244,"nucleus","CC"
"4","1","GO:0008017",1.37818673377471e-05,0.99999549603322,41,67,"microtubule binding","MF"
"5","1","GO:0004672",1.92254833296332e-05,0.999989928441905,94,193,"protein kinase activity","MF"
"6","1","GO:0005524",4.92230074936962e-05,0.999964311002649,324,785,"ATP binding","MF"
"7","1","GO:0003777",7.60688578787309e-05,0.99997547920133,34,55,"microtubule motor activity","MF"
"8","1","GO:0008033",0.000126004819524137,0.999984178936387,14,18,"tRNA processing","BP"
"9","1","GO:0003723",0.000177293722641726,0.999903759147607,79,170,"RNA binding","MF"
"10","1","GO:0008270",0.000214138756882281,0.999861044804581,145,343,"zinc ion binding","MF"
"11","1","GO:0006468",0.000246276666899058,0.999844852245353,128,289,"protein phosphorylation","BP"
"12","1","GO:0004386",0.000303954669185489,0.999878183961039,39,70,"helicase activity","MF"
"13","1","GO:0004843",0.000489628579723328,0.999839011326266,27,45,"thiol-dependent ubiquitin-specific protease activity","MF"
"14","1","GO:0006364",0.000498005765924727,0.999911701033219,14,20,"rRNA processing","BP"
"15","1","GO:0004725",0.0013183585013342,0.999528860507817,26,45,"protein tyrosine phosphatase activity","MF"
"16","1","GO:0006368",0.00166389738316036,1,6,6,"transcription elongation from RNA polymerase II promoter","BP"
"17","1","GO:0005096",0.00174263452159353,0.999523412108112,18,28,"GTPase activator activity","MF"
"18","1","GO:0003678",0.00304300339041151,0.999480085372083,11,15,"DNA helicase activity","MF"
"19","1","GO:0000776",0.00306153420581115,1,5,5,"kinetochore","CC"
"20","1","GO:0006396",0.00326567759771455,0.998793223292973,23,41,"RNA processing","BP"
"21","1","GO:0008408",0.00327554962503011,0.999660714610748,8,10,"3'-5' exonuclease activity","MF"
"22","1","GO:0016538",0.00541494906840874,1,4,4,"cyclin-dependent protein serine/threonine kinase regulator activity","MF"
"23","1","GO:0006397",0.00563256650274279,0.998106917694795,18,31,"mRNA processing","BP"
"24","1","GO:0017150",0.00624963999190247,1,5,5,"tRNA dihydrouridine synthase activity","MF"
"25","1","GO:0005542",0.0075885666176403,1,4,4,"folic acid binding","MF"
"26","1","GO:0016579",0.00783046222254732,0.996876189975614,22,40,"protein deubiquitination","BP"
"27","1","GO:0018024",0.00794757354992944,0.99945061909386,6,7,"histone-lysine N-methyltransferase activity","MF"
"28","1","GO:0046856",0.00954219504317217,0.999308819525699,6,7,"phosphatidylinositol dephosphorylation","BP"
"29","1","GO:0035556",0.0100838725866377,0.9943292985966,44,95,"intracellular signal transduction","BP"
"30","1","GO:0016311",0.0102073253118175,0.997761837263711,10,15,"dephosphorylation","BP"
"31","1","GO:0007165",0.0105473690199514,0.993140174130713,72,170,"signal transduction","BP"
"32","1","GO:0003682",0.0121213882538497,0.997988008094265,8,11,"chromatin binding","MF"
"33","1","GO:0006281",0.0125518321655383,0.994529183133294,22,44,"DNA repair","BP"
"34","1","GO:0009116",0.0126368350024983,0.997613577516359,8,12,"nucleoside metabolic process","BP"
"35","1","GO:0004540",0.0129025491937557,0.998335713578375,7,9,"ribonuclease activity","MF"
"36","1","GO:0046872",0.0146901676622491,0.990155292474384,75,181,"metal ion binding","MF"
"37","1","GO:1905775",0.0155422698755307,1,4,4,"negative regulation of DNA helicase activity","BP"
"38","1","GO:0008138",0.0189812013708382,0.995531135263999,9,14,"protein tyrosine/serine/threonine phosphatase activity","MF"
"39","1","GO:0006470",0.0216894161108287,0.990979525954335,18,34,"protein dephosphorylation","BP"
"40","1","GO:0003690",0.0216929549459747,1,3,3,"double-stranded DNA binding","MF"
"41","1","GO:0017017",0.0226930485070844,1,3,3,"MAP kinase tyrosine/serine/threonine phosphatase activity","MF"
"42","1","GO:0016765",0.0261032546828983,1,3,3,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF"
"43","1","GO:0009113",0.0264088948300975,1,3,3,"purine nucleobase biosynthetic process","BP"
"44","1","GO:0005086",0.0265506173380282,0.997693948575709,5,6,"ARF guanyl-nucleotide exchange factor activity","MF"
