"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0055114",2.89005311898616e-09,1,160,365,"oxidation-reduction process","BP"
"GO:0042981",1.91826010882096e-07,0.999999945880142,44,74,"regulation of apoptotic process","BP"
"GO:0006508",0.000201888537416075,0.999885013241335,87,204,"proteolysis","BP"
"GO:0007169",0.000666277613477291,0.999967299747411,8,9,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"GO:0050482",0.000882099533391356,0.999958505481315,7,8,"arachidonic acid secretion","BP"
"GO:0005975",0.00113703087460183,0.999498060057738,35,74,"carbohydrate metabolic process","BP"
"GO:0007186",0.00157442408320103,0.999158012973496,52,121,"G protein-coupled receptor signaling pathway","BP"
"GO:0055085",0.00236488234069765,0.998502378418619,85,215,"transmembrane transport","BP"
"GO:0007275",0.00271752213423957,0.999213691469168,16,28,"multicellular organism development","BP"
"GO:0006644",0.00299127080907955,0.999720503606667,7,9,"phospholipid metabolic process","BP"
"GO:0006099",0.00330235343031823,0.999402935738914,10,15,"tricarboxylic acid cycle","BP"
"GO:0007219",0.00404324685622873,0.999763342985865,6,7,"Notch signaling pathway","BP"
"GO:0007156",0.0053658381325423,0.998777610829222,12,18,"homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"GO:0006564",0.0066278312947255,1,4,4,"L-serine biosynthetic process","BP"
"GO:0006004",0.00709928660252541,1,4,4,"fucose metabolic process","BP"
"GO:0006631",0.00914979770871906,0.999420544314555,5,6,"fatty acid metabolic process","BP"
"GO:0006013",0.0106324985887783,1,4,4,"mannose metabolic process","BP"
"GO:0007160",0.0107594744708017,0.998669829497622,7,9,"cell-matrix adhesion","BP"
"GO:0007165",0.0120741734492509,0.992139088392417,67,170,"signal transduction","BP"
"GO:0006468",0.0160612028696632,0.988331022446999,107,289,"protein phosphorylation","BP"
"GO:0006955",0.0170268525608338,0.998709249460033,5,6,"immune response","BP"
"GO:0071705",0.0227651556325449,1,3,3,"nitrogen compound transport","BP"
"GO:0016042",0.0227826321573922,1,3,3,"lipid catabolic process","BP"
"GO:0032482",0.0232407980982884,1,3,3,"Rab protein signal transduction","BP"
"GO:0007264",0.0252607971697003,0.990087857580387,15,29,"small GTPase mediated signal transduction","BP"
"GO:0006826",0.0301983499282119,1,3,3,"iron ion transport","BP"
"GO:0006821",0.0311709668779725,0.995799730187276,5,7,"chloride transport","BP"
"GO:0007267",0.0350511999704098,0.99710225136411,4,5,"cell-cell signaling","BP"
"GO:0016540",0.0350511999704098,0.99710225136411,4,5,"protein autoprocessing","BP"
"GO:0046373",0.0357748032858644,1,3,3,"L-arabinose metabolic process","BP"
"GO:0006289",0.0391067866414568,0.991704806312935,6,10,"nucleotide-excision repair","BP"
"GO:0045454",0.0471202532704275,0.991408002708758,5,8,"cell redox homeostasis","BP"
"GO:0009190",0.0483124202541474,0.992530505068491,5,7,"cyclic nucleotide biosynthetic process","BP"
"GO:0005576",1.35315957755144e-09,0.999999999724587,46,67,"extracellular region","CC"
"GO:0005615",6.27197269475078e-06,1,12,12,"extracellular space","CC"
"GO:0016020",0.000872227075120459,0.999396507316765,152,399,"membrane","CC"
"GO:0016021",0.00990941713017326,0.992249578909886,200,578,"integral component of membrane","CC"
"GO:0016459",0.0263895411214518,0.991476793903853,12,20,"myosin complex","CC"
"GO:0000145",0.030328981607544,0.994605185048819,6,9,"exocyst","CC"
"GO:0005201",3.89701885932368e-06,0.999999666369284,18,21,"extracellular matrix structural constituent","MF"
"GO:0020037",1.53295705156096e-05,0.999994564610537,42,77,"heme binding","MF"
"GO:0043565",0.00013202411049832,0.999956070308493,29,55,"sequence-specific DNA binding","MF"
