"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0055114",1.9171086022321e-14,1,163,365,"oxidation-reduction process","BP"
"GO:0006508",4.2931457858895e-09,1,93,204,"proteolysis","BP"
"GO:0005975",0.000260643799177046,0.999896147042079,34,74,"carbohydrate metabolic process","BP"
"GO:0055085",0.000290344855491275,0.999832426954978,81,215,"transmembrane transport","BP"
"GO:0050482",0.000487776549235106,0.999979572981933,7,8,"arachidonic acid secretion","BP"
"GO:0006099",0.00130230600904375,0.999796748912505,10,15,"tricarboxylic acid cycle","BP"
"GO:0006644",0.00169970114111959,0.999858483123682,7,9,"phospholipid metabolic process","BP"
"GO:0007219",0.00200289707418928,0.999900498657257,6,7,"Notch signaling pathway","BP"
"GO:0007275",0.00231553202731088,0.999347503864064,15,28,"multicellular organism development","BP"
"GO:0007169",0.00243111610263182,0.999782373208529,7,9,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"GO:0042981",0.0034565929675382,0.998377722323224,31,74,"regulation of apoptotic process","BP"
"GO:0006564",0.00458649895415325,1,4,4,"L-serine biosynthetic process","BP"
"GO:0006004",0.00474056418206781,1,4,4,"fucose metabolic process","BP"
"GO:0006779",0.004910273242083,1,4,4,"porphyrin-containing compound biosynthetic process","BP"
"GO:0006631",0.00576212259668682,0.999678825717674,5,6,"fatty acid metabolic process","BP"
"GO:0006013",0.00580140100464784,1,4,4,"mannose metabolic process","BP"
"GO:0007186",0.00686595975640971,0.996069606255101,45,121,"G protein-coupled receptor signaling pathway","BP"
"GO:0006955",0.00786669084256942,0.999522432597688,5,6,"immune response","BP"
"GO:0071705",0.0174587717053937,1,3,3,"nitrogen compound transport","BP"
"GO:0016042",0.0174651589089144,1,3,3,"lipid catabolic process","BP"
"GO:0032482",0.0176321236219387,1,3,3,"Rab protein signal transduction","BP"
"GO:0006821",0.017867433354245,0.997957988057942,5,7,"chloride transport","BP"
"GO:0006826",0.0200295007814975,1,3,3,"iron ion transport","BP"
"GO:0007160",0.0204632677639548,0.996718055681188,6,9,"cell-matrix adhesion","BP"
"GO:0007267",0.0211681173561041,0.998535099214737,4,5,"cell-cell signaling","BP"
"GO:0016540",0.0211681173561041,0.998535099214737,4,5,"protein autoprocessing","BP"
