"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006508",2.20620302199864e-05,0.999989199305241,63,188,"proteolysis","BP"
"GO:0042981",2.91274830660789e-05,0.999990493596277,29,69,"regulation of apoptotic process","BP"
"GO:0007275",0.00142378576241977,0.999635996802263,13,28,"multicellular organism development","BP"
"GO:0005975",0.00197540284096254,0.99916259443459,25,72,"carbohydrate metabolic process","BP"
"GO:0007156",0.0033573378372003,0.999388270468103,9,15,"homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"GO:0055114",0.00513134205104931,0.996497830472275,87,343,"oxidation-reduction process","BP"
"GO:0055085",0.00542097007968046,0.996671809579671,55,197,"transmembrane transport","BP"
"GO:0007169",0.00611578852890012,0.999479363036341,5,7,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"GO:0032482",0.00630088110454924,1,3,3,"Rab protein signal transduction","BP"
"GO:0009190",0.00940542854198803,0.999101642786353,5,7,"cyclic nucleotide biosynthetic process","BP"
"GO:0006468",0.00999423713502507,0.993205825393353,74,277,"protein phosphorylation","BP"
"GO:0007165",0.0128029429775383,0.992052985812851,47,166,"signal transduction","BP"
"GO:0006564",0.0217081775536875,0.99883755377359,3,4,"L-serine biosynthetic process","BP"
"GO:0006955",0.0261289130464195,0.997158555784066,4,6,"immune response","BP"
"GO:0043087",0.0299888292419424,0.995232131044411,5,8,"regulation of GTPase activity","BP"
"GO:0006778",0.0335057205297812,1,2,2,"porphyrin-containing compound metabolic process","BP"
"GO:0006567",0.0343717923542194,1,2,2,"threonine catabolic process","BP"
"GO:0018149",0.0344540999782861,0.997762960279531,3,4,"peptide cross-linking","BP"
"GO:0019427",0.0349136062988065,1,2,2,"acetyl-CoA biosynthetic process from acetate","BP"
"GO:0019915",0.0362359228956842,1,2,2,"lipid storage","BP"
"GO:0050482",0.0419915092761076,0.992991495865835,4,8,"arachidonic acid secretion","BP"
"GO:0051056",0.0438131392889672,0.994299012440929,4,6,"regulation of small GTPase mediated signal transduction","BP"
"GO:0030001",0.0449141322803844,0.986193630445954,7,18,"metal ion transport","BP"
"GO:0008284",0.0487161828376039,1,2,2,"positive regulation of cell proliferation","BP"
"GO:0008543",0.0487161828376039,1,2,2,"fibroblast growth factor receptor signaling pathway","BP"
"GO:0005576",3.65753443982182e-12,1,40,64,"extracellular region","CC"
"GO:0016020",0.000142525352566763,0.99991145295438,107,377,"membrane","CC"
"GO:0016459",0.01641292088932,0.995202401810124,10,20,"myosin complex","CC"
