"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006412",0.000724302066031387,0.999891687770086,114,116,"translation","BP"
"GO:0035556",0.0101334893152498,0.997958623535147,92,94,"intracellular signal transduction","BP"
"GO:0006281",0.0190271682451288,1,42,42,"DNA repair","BP"
"GO:0006886",0.0274167637307778,0.995955062987855,61,62,"intracellular protein transport","BP"
"GO:0006468",0.0304060362192626,0.983129522894952,262,277,"protein phosphorylation","BP"
"GO:0016579",0.0325989133215652,1,39,39,"protein deubiquitination","BP"
"GO:0006511",0.0441898356505943,0.992845999842852,55,56,"ubiquitin-dependent protein catabolic process","BP"
"GO:0005840",0.00401297432457309,0.99928274155006,94,96,"ribosome","CC"
"GO:0005634",0.00418576095358281,0.998300890524641,225,235,"nucleus","CC"
"GO:0005739",0.0359601430926167,1,33,33,"mitochondrion","CC"
"GO:0005515",1.71379092531881e-07,1,1627,1726,"protein binding","MF"
"GO:0005524",7.82316407731476e-06,1,722,757,"ATP binding","MF"
"GO:0003735",0.00141370061487574,0.999706972561044,123,126,"structural constituent of ribosome","MF"
"GO:0003723",0.00220647521504669,0.999363782576991,161,166,"RNA binding","MF"
"GO:0046872",0.00481384565928555,0.998374565728061,167,173,"metal ion binding","MF"
"GO:0005525",0.0149523297771602,0.993675796828694,168,176,"GTP binding","MF"
"GO:0004843",0.020593593276885,1,44,44,"thiol-dependent ubiquitin-specific protease activity","MF"
"GO:0004386",0.0216678196448563,0.996933309828017,65,66,"helicase activity","MF"
"GO:0004672",0.0367158796294517,0.982219736946628,176,185,"protein kinase activity","MF"
"GO:0035091",0.0387118945126158,1,36,36,"phosphatidylinositol binding","MF"
