"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.219557474028238 4 6 "GO:0000030" "mannosyltransferase activity" 0.908666666666667
0 0.00320417968362855 2 11 "GO:0000049" "tRNA binding" 0.113235294117647
0 0.00169794003870533 2 7 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 0.0826923076923077
0 0.00703116589563543 3 36 "GO:0000287" "magnesium ion binding" 0.185869565217391
0 0.0443811965284812 2 21 "GO:0000295;GO:0005346;GO:0008514;GO:0015216;GO:0015215;GO:0015605;GO:0015932;GO:1901505" "nucleobase-containing compound transmembrane transporter activity" 0.481325301204819
0 0.496970913870676 4 10 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.819706693925348 2 6 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.151244221608244 3 86 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.830645161290323
0 0.0793346220061297 3 6 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.632178217821782
0 0.990397585469357 4 320 "GO:0003677" "DNA binding" 1
0 0.9825707926985 2 11 "GO:0003678" "DNA helicase activity" 1
0 0.891991204137827 2 11 "GO:0003682" "chromatin binding" 1
0 0.261143045801604 2 11 "GO:0003684" "damaged DNA binding" 0.948148148148148
0 0.575087404011168 5 13 "GO:0003690" "double-stranded DNA binding" 1
0 0.224280609166708 2 10 "GO:0003697" "single-stranded DNA binding" 0.913576158940397
0 0.468873651246154 2 178 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.314817850377069 2 32 "GO:0003712" "transcription coregulator activity" 0.9625
0 0.248893630711338 3 7 "GO:0003713" "transcription coactivator activity" 0.925625
0 5.35441861689909e-06 4 245 "GO:0003723" "RNA binding" 0.00555555555555556
0 0.0615562517223116 5 9 "GO:0003729" "mRNA binding" 0.586111111111111
0 3.24985000141962e-39 2 120 "GO:0003735" "structural constituent of ribosome" 0
0 8.04753982395591e-07 2 33 "GO:0003743" "translation initiation factor activity" 0
0 0.000117402441545985 2 9 "GO:0003746" "translation elongation factor activity" 0.0166666666666667
0 0.00143954948442112 3 25 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.0729166666666667
0 0.00212386934368465 3 7 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.0981481481481482
0 0.524083854716769 2 84 "GO:0003774" "motor activity" 1
0 0.261106525800961 8 61 "GO:0003777" "microtubule motor activity" 0.953726708074534
0 0.0160369031683933 4 47 "GO:0003779" "actin binding" 0.264285714285714
0 0.000870217143001629 2 5 "GO:0003785" "actin monomer binding" 0.0578947368421053
0 0.0143211428535092 3 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.259322033898305
0 0.0321094170812577 3 8 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 0.405333333333333
0 0.0317875140283121 6 166 "GO:0003924" "GTPase activity" 0.408783783783784
0 0.476451968772277 2 19 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 0.837600895963455 5 13 "GO:0003951" "NAD+ kinase activity" 1
0 0.183119462028416 3 16 "GO:0003964" "RNA-directed DNA polymerase activity" 0.886397058823529
0 0.696683894763306 4 6 "GO:0003993" "acid phosphatase activity" 1
0 0.112274621583774 3 8 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.715948275862069
0 0.00292534616104993 2 6 "GO:0004017" "adenylate kinase activity" 0.111290322580645
0 0.069268326697109 4 17 "GO:0004089" "carbonate dehydratase activity" 0.616666666666667
0 0.313766563741029 2 25 "GO:0004096" "catalase activity" 0.96536312849162
0 0.0376173009292411 7 11 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.441558441558442
0 5.63560980417184e-08 3 10 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "heme-copper terminal oxidase activity" 0
0 0.671546643032835 2 10 "GO:0004144" "diacylglycerol O-acyltransferase activity" 1
0 0.393094250842307 2 192 "GO:0004175" "endopeptidase activity" 1
0 0.0161269378752905 2 8 "GO:0004176" "ATP-dependent peptidase activity" 0.26015625
0 0.212077642822862 5 17 "GO:0004181;GO:0004180" "carboxypeptidase activity" 0.930769230769231
0 0.0805874748381062 4 14 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.63578431372549
0 0.384424750767643 2 22 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 1
0 0.0357623430845082 5 7 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.430263157894737
0 0.580999477939939 3 81 "GO:0004222" "metalloendopeptidase activity" 1
0 0.523057684015051 3 67 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 7.34802743986794e-08 2 12 "GO:0004298;GO:0070003" "threonine-type endopeptidase activity" 0
0 0.0402483001669469 2 10 "GO:0004364" "glutathione transferase activity" 0.449375
0 0.782825480154138 2 7 "GO:0004383" "guanylate cyclase activity" 1
0 0.987746259474135 2 35 "GO:0004386" "helicase activity" 1
0 0.386407793059064 6 5 "GO:0004402;GO:0061733;GO:0034212" "peptide-lysine-N-acetyltransferase activity" 1
0 0.510936278991604 6 6 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 1
0 0.733527787956213 2 33 "GO:0004497" "monooxygenase activity" 1
0 0.859868400103782 3 14 "GO:0004499;GO:0016709" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" 1
0 0.404786179357013 2 39 "GO:0004518" "nuclease activity" 1
0 0.141553133082105 4 20 "GO:0004519" "endonuclease activity" 0.813114754098361
0 0.0690663679153923 2 14 "GO:0004521" "endoribonuclease activity" 0.621739130434783
0 0.211908444440352 2 8 "GO:0004527;GO:0016796" "exonuclease activity" 0.936619718309859
0 0.00646574972660728 2 5 "GO:0004536" "deoxyribonuclease activity" 0.172222222222222
0 0.505961642827049 2 24 "GO:0004540" "ribonuclease activity" 1
0 0.0472342226768998 4 6 "GO:0004549" "tRNA-specific ribonuclease activity" 0.492441860465116
0 0.0158074156666984 3 74 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.270491803278689
0 0.10649093704994 5 12 "GO:0004559;GO:0015923" "alpha-mannosidase activity" 0.707522123893805
0 0.197139882045172 5 6 "GO:0004560;GO:0015928" "fucosidase activity" 0.9
0 0.0135210732245331 5 8 "GO:0004565;GO:0015925" "galactosidase activity" 0.258928571428571
0 0.225685981735786 2 7 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 0.9125
0 0.554721658839815 3 40 "GO:0004601" "peroxidase activity" 1
0 0.450245291243039 3 24 "GO:0004620" "phospholipase activity" 1
0 0.237506797731062 2 8 "GO:0004623" "phospholipase A2 activity" 0.928387096774194
0 0.594865816552146 2 6 "GO:0004659" "prenyltransferase activity" 1
