,total,expected,hits,Raw p,Holm p,FDR
Starch and sucrose metabolism,18,0.62,6,1.69E-05,0.00136,0.00136
Galactose metabolism,27,0.93,6,0.000213,0.0168,0.0085
Nitrogen metabolism,6,0.207,3,0.000718,0.056,0.0191
Pyrimidine metabolism,39,1.34,6,0.0017,0.129,0.0219
"Valine, leucine and isoleucine biosynthesis",8,0.276,3,0.00191,0.143,0.0219
Phenylalanine metabolism,8,0.276,3,0.00191,0.143,0.0219
Glyoxylate and dicarboxylate metabolism,31,1.07,5,0.00344,0.251,0.0344
Fructose and mannose metabolism,20,0.689,4,0.00404,0.291,0.0359
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.138,2,0.00668,0.474,0.0486
Riboflavin metabolism,4,0.138,2,0.00668,0.474,0.0486
Purine metabolism,70,2.41,7,0.00859,0.593,0.0573
Arginine biosynthesis,14,0.482,3,0.0107,0.73,0.066
Amino sugar and nucleotide sugar metabolism,42,1.45,5,0.0129,0.865,0.0738
"Alanine, aspartate and glutamate metabolism",28,0.964,4,0.0139,0.918,0.0741
"Glycine, serine and threonine metabolism",33,1.14,4,0.0245,1,0.122
Arginine and proline metabolism,36,1.24,4,0.0326,1,0.154
Glutathione metabolism,28,0.964,3,0.0689,1,0.306
Butanoate metabolism,15,0.517,2,0.0918,1,0.367
Nicotinate and nicotinamide metabolism,15,0.517,2,0.0918,1,0.367
Cysteine and methionine metabolism,33,1.14,3,0.102,1,0.388
Glycerophospholipid metabolism,36,1.24,3,0.124,1,0.451
"Valine, leucine and isoleucine degradation",39,1.34,3,0.148,1,0.497
Pantothenate and CoA biosynthesis,20,0.689,2,0.149,1,0.497
Tryptophan metabolism,41,1.41,3,0.165,1,0.527
Pyruvate metabolism,23,0.792,2,0.186,1,0.573
Taurine and hypotaurine metabolism,8,0.276,1,0.245,1,0.726
Ascorbate and aldarate metabolism,9,0.31,1,0.271,1,0.763
Lysine degradation,30,1.03,2,0.277,1,0.763
Biotin metabolism,10,0.344,1,0.296,1,0.781
Sphingolipid metabolism,32,1.1,2,0.303,1,0.781
D-Amino acid metabolism,15,0.517,1,0.41,1,1
Tyrosine metabolism,42,1.45,2,0.429,1,1
Histidine metabolism,16,0.551,1,0.431,1,1
Ubiquinone and other terpenoid-quinone biosynthesis,18,0.62,1,0.47,1,1
Terpenoid backbone biosynthesis,18,0.62,1,0.47,1,1
Pentose and glucuronate interconversions,19,0.654,1,0.488,1,1
Citrate cycle (TCA cycle),20,0.689,1,0.506,1,1
Pentose phosphate pathway,23,0.792,1,0.556,1,1
Glycolysis / Gluconeogenesis,26,0.895,1,0.601,1,1
Lipoic acid metabolism,28,0.964,1,0.628,1,1
Inositol phosphate metabolism,30,1.03,1,0.654,1,1
Porphyrin metabolism,31,1.07,1,0.666,1,1
Fatty acid degradation,39,1.34,1,0.749,1,1
N-Glycan biosynthesis,40,1.38,1,0.758,1,1
Primary bile acid biosynthesis,46,1.58,1,0.805,1,1
Fatty acid biosynthesis,47,1.62,1,0.812,1,1
