"","Metabolite","lifestage"
"1","Uridine","Embryo"
"2","Glycerol-3-phosphate","Embryo"
"3","NADH","Embryo"
"4","Orotate","Embryo"
"5","Dihydroxyacetone phosphate","Embryo"
"6","AMP","Embryo"
"7","Arginine-Alanine","Embryo"
"8","2-Hydroxyglutarate","Embryo"
"9","S-adenosyl-L-methionine","Embryo"
"10","Citrate","Embryo"
"11","Valine","Embryo"
"12","Arginine-Glutamine","Embryo"
"13","UMP","Embryo"
"14","Phosphocholine","Embryo"
"15","Adenosine","Embryo"
"16","Malate","Embryo"
"17","Homoarginine","Embryo"
"18","Ornithine","Embryo"
"19","Alanine","Embryo"
"20","NG-dimethyl-L-arginine","Embryo"
"21","Succinate","Embryo"
"22","1-Methylhistidine","Embryo"
"23","Citrulline","Embryo"
"24","UDP","Embryo"
"25","ADP","Embryo"
"26","Pyruvate","Embryo"
"27","Dihydroorotate","Embryo"
"28","GMP","Embryo"
"29","UDP-N-acetyl-glucosamine","Embryo"
"30","Tyrosine","Embryo"
"31","N-acetyl-glutamate","Embryo"
"32","AMP","Embryo"
"33","Glycyl-L-proline","Embryo"
"34","3-Phenylbutyric acid","Embryo"
"35","Threonine","Embryo"
"36","Betaine","Embryo"
"37","Proline","Embryo"
"38","Hypoxanthine","Embryo"
"39","Adenosine","Embryo"
"40","4-Guanidinobutanoic acid","Embryo"
"41","Malonic acid","Embryo"
"42","GMP","Embryo"
"43","Diethanolamine","Embryo"
"44","Trigonelline","Embryo"
"45","Adipic acid","Embryo"
"46","N-Acetylaspartate","Embryo"
"47","Alanine","Embryo"
"48","Glutaric acid","Embryo"
"49","Guanine","Embryo"
"50","O-Decanoyl-L-carnitine","Embryo"
"51","Fumarate","Embryo"
"52","Succinate","Embryo"
"53","Phenylalanine","Embryo"
"54","Tryptamine","Embryo"
"55","Lumichrome","Embryo"
"56","Citrulline","Embryo"
"57","Methionine","Embryo"
"58","Valine","Embryo"
"59","Methionine sulfoxide","Embryo"
"60","Lactate","Embryo"
"61","Pyruvate","Embryo"
"62","Acetyl-arginine","Embryo"
"63","Acetyl glycine","Embryo"
"64","Carbamoyl phosphate","Embryo"
"65","Hydroxyoctanoic acid","Embryo"
"66","Phosphoenolpyruvate","Embryo"
"67","Methylphenyllactate","Embryo"
"68","2-Hydroxybutyric acid","Embryo"
"69","Creatine","Embryo"
"70","Urocanate","Embryo"
"71","L-Octanoylcarnitine","Embryo"
"72","5- Methylthioadenosine","Embryo"
"73","2-Hydroxyglutarate","Embryo"
"74","4-Aminobutyrate","Embryo"
