Date,dpf,Stage,Run ,Sample.ID,Chamber.ID,Salinity,Volume,Type,Org.Number,Notes,Plate,AH Notes
20201111,2,Gastrula,1-641,1,A1,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,2,A2,34,0.00008,Blank,NA,,641,
20201111,2,Gastrula,1-641,3,A3,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,4,A4,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,5,A5,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,6,A6,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,7,B1,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,8,B2,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,9,B3,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,10,B4,34,0.00008,Sample,6,,641,
20201111,2,Gastrula,1-641,11,B5,34,0.00008,Blank,NA,,641,
20201111,2,Gastrula,1-641,12,B6,34,0.00008,NA,NA,broken sensor,641,
20201111,2,Gastrula,1-641,13,C1,34,0.00008,NA,NA,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,14,C2,34,0.00008,NA,6,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,15,C3,34,0.00008,NA,6,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,16,C4,34,0.00008,NA,9,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,17,C5,34,0.00008,NA,9,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,18,C6,34,0.00008,NA,6,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,19,D1,34,0.00008,NA,9,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,20,D2,34,0.00008,NA,6,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,21,D3,34,0.00008,NA,NA,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,22,D4,34,0.00008,NA,6,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,23,D5,34,0.00008,NA,6,file corrupted - no data ,641,
20201111,2,Gastrula,1-641,24,D6,34,0.00008,NA,6,file corrupted - no data ,641,
20201111,2,Gastrula,1-710,1,A1,34,0.00008,Blank,NA,,710,
20201111,2,Gastrula,1-710,2,A2,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,3,A3,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,4,A4,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,5,A5,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,6,A6,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,7,B1,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,8,B2,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,9,B3,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,10,B4,34,0.00008,Blank,NA,,710,
20201111,2,Gastrula,1-710,11,B5,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,12,B6,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,13,C1,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,14,C2,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,15,C3,34,0.00008,Blank,NA,,710,
20201111,2,Gastrula,1-710,16,C4,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,17,C5,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,18,C6,34,0.00008,Sample,9,nine samples,710,
20201111,2,Gastrula,1-710,19,D1,34,0.00008,Sample,9,nine samples,710,
20201111,2,Gastrula,1-710,20,D2,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,21,D3,34,0.00008,Sample,9,nine samples,710,
20201111,2,Gastrula,1-710,22,D4,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,23,D5,34,0.00008,Sample,6,,710,
20201111,2,Gastrula,1-710,24,D6,34,0.00008,Blank,NA,,710,
20201112,3,Larvae,2-641,1,A1,34,0.00008,Blank,NA,,641,
20201112,3,Larvae,2-641,2,A2,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,3,A3,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,4,A4,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,5,A5,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,6,A6,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,7,B1,34,0.00008,Sample,9,nine samples,641,
20201112,3,Larvae,2-641,8,B2,34,0.00008,Blank,NA,,641,
20201112,3,Larvae,2-641,9,B3,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,10,B4,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,11,B5,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,12,B6,34,0.00008,NA,NA,broken sensor,641,
20201112,3,Larvae,2-641,13,C1,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,14,C2,34,0.00008,Sample,9,nine samples,641,
20201112,3,Larvae,2-641,15,C3,34,0.00008,Blank,NA,,641,
20201112,3,Larvae,2-641,16,C4,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,17,C5,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,18,C6,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,19,D1,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,20,D2,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,21,D3,34,0.00008,Sample,9,nine samples,641,
20201112,3,Larvae,2-641,22,D4,34,0.00008,Blank,NA,,641,
20201112,3,Larvae,2-641,23,D5,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-641,24,D6,34,0.00008,Sample,6,,641,
20201112,3,Larvae,2-710,1,A1,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,2,A2,34,0.00008,Blank,NA,,710,
20201112,3,Larvae,2-710,3,A3,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,4,A4,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,5,A5,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,6,A6,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,7,B1,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,8,B2,34,0.00008,Sample,9,nine samples,710,
20201112,3,Larvae,2-710,9,B3,34,0.00008,Blank,NA,,710,
20201112,3,Larvae,2-710,10,B4,34,0.00008,Sample,9,nine samples,710,
20201112,3,Larvae,2-710,11,B5,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,12,B6,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,13,C1,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,14,C2,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,15,C3,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,16,C4,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,17,C5,34,0.00008,Blank,NA,,710,
20201112,3,Larvae,2-710,18,C6,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,19,D1,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,20,D2,34,0.00008,Sample,9,nine samples,710,
20201112,3,Larvae,2-710,21,D3,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,22,D4,34,0.00008,Blank,NA,,710,
20201112,3,Larvae,2-710,23,D5,34,0.00008,Sample,6,,710,
20201112,3,Larvae,2-710,24,D6,34,0.00008,Sample,6,,710,
20201113,4,Larvae,3-641,1,A1,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,2,A2,34,0.00008,Sample,6,,641,
20201113,4,Larvae,3-641,3,A3,34,0.00008,Blank,NA,,641,
