GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm,pattern,percHits
GO:0055082,8.235660691878786e-8,1,110,291,intracellular chemical homeostasis,BP,3.189176493245442e-4,intracellular chemical homeostasis,Late,37.80068728522337
GO:0006082,8.467889366590842e-8,1,160,469,organic acid metabolic process,BP,3.189176493245442e-4,organic acid metabolic process,Late,34.11513859275053
GO:0043436,2.4279262555959386e-7,1,156,462,oxoacid metabolic process,BP,6.806919049409827e-4,organic acid metabolic process,Late,33.76623376623377
GO:0019748,2.530318801225043e-7,0.9999999379084142,34,60,secondary metabolic process,BP,6.806919049409827e-4,secondary metabolic process,Late,56.666666666666664
GO:0048878,3.434305827075811e-7,1,158,464,chemical homeostasis,BP,8.083926628708074e-4,intracellular chemical homeostasis,Late,34.05172413793103
GO:0019752,6.372784628658827e-7,1,141,415,carboxylic acid metabolic process,BP,0.00125443641486718,organic acid metabolic process,Late,33.97590361445783
GO:0015718,7.327704616610391e-7,0.9999998336474216,29,50,monocarboxylic acid transport,BP,0.00125443641486718,monocarboxylic acid transport,Late,57.99999999999999
GO:0042593,8.793088233928937e-7,0.9999996797324192,50,110,glucose homeostasis,BP,0.00137985537110929,intracellular chemical homeostasis,Late,45.45454545454545
GO:0044281,9.703762158078516e-7,0.9999996049455324,270,884,small molecule metabolic process,BP,0.00140562727075981,organic acid metabolic process,Late,30.542986425339368
GO:0007517,1.2599225259580765e-6,0.9999994401890948,70,171,muscle organ development,BP,0.00158170673908776,muscle organ development,Late,40.93567251461988
GO:0060537,1.6651336243956888e-6,0.9999992769687706,65,158,muscle tissue development,BP,0.00184447831064677,muscle tissue development,Late,41.139240506329116
GO:1901615,2.149773534179516e-6,0.99999928883021,80,205,organic hydroxy compound metabolic process,BP,0.0022490214123408,organic hydroxy compound metabolic process,Late,39.02439024390244
GO:0060538,3.143405118051864e-6,0.9999988405805732,46,102,skeletal muscle organ development,BP,0.00311544535673866,muscle organ development,Late,45.09803921568628
GO:0033500,4.160077731818097e-6,0.9999983630731152,50,115,carbohydrate homeostasis,BP,0.00359623313386315,intracellular chemical homeostasis,Late,43.47826086956522
GO:0071322,7.733461479516313e-6,0.9999978473791844,29,56,cellular response to carbohydrate stimulus,BP,0.0052774000001792,cellular response to glucose stimulus,Late,51.78571428571429
GO:0071331,8.12726886544512e-6,0.9999979466900712,26,48,cellular response to hexose stimulus,BP,0.0052774000001792,cellular response to glucose stimulus,Late,54.166666666666664
GO:0071333,8.12726886544512e-6,0.9999979466900712,26,48,cellular response to glucose stimulus,BP,0.0052774000001792,cellular response to glucose stimulus,Late,54.166666666666664
GO:0071326,1.335069116457247e-5,0.9999964759007502,26,49,cellular response to monosaccharide stimulus,BP,0.007856464541252,cellular response to glucose stimulus,Late,53.06122448979592
GO:0009749,1.6411124881531066e-5,0.9999939842250994,39,87,response to glucose,BP,0.00908934978365033,cellular response to glucose stimulus,Late,44.827586206896555
GO:0034284,2.1435508324785504e-5,0.999991761297555,41,94,response to monosaccharide,BP,0.01049619245018414,cellular response to glucose stimulus,Late,43.61702127659575
GO:0001678,2.2129720939880895e-5,0.9999938955819652,26,50,intracellular glucose homeostasis,BP,0.01049619245018414,intracellular chemical homeostasis,Late,52
GO:0060485,2.2295560406105133e-5,0.9999913165008554,42,96,mesenchyme development,BP,0.01049619245018414,muscle tissue development,Late,43.75
GO:0045597,3.253195114972627e-5,0.9999794689283614,151,465,positive regulation of cell differentiation,BP,0.01285439041443653,positive regulation of cell differentiation,Late,32.47311827956989
GO:0006811,3.3440755195698665e-5,0.9999793603525088,141,429,monoatomic ion transport,BP,0.01285439041443653,monoatomic ion transport,Late,32.86713286713287
GO:0009746,4.130237921862191e-5,0.9999839543183776,39,90,response to hexose,BP,0.01499688422868226,cellular response to glucose stimulus,Late,43.333333333333336
GO:0061138,4.169649813620209e-5,0.999983146576952,42,98,morphogenesis of a branching epithelium,BP,0.01499688422868226,morphogenesis of a branching epithelium,Late,42.857142857142854
GO:0042440,4.220885051883384e-5,0.9999839917825396,38,84,pigment metabolic process,BP,0.01499688422868226,pigment metabolic process,Late,45.23809523809524
