GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm,pattern,percHits
GO:0019219,1.0541396291334767e-32,1,515,1429,regulation of nucleobase-containing compound metabolic process,BP,3.9701006712425e-29,regulation of nucleobase-containing compound metabolic process,Early,36.039188243526944
GO:0051276,2.7434900623211057e-32,1,273,619,chromosome organization,BP,8.610443560594792e-29,chromosome organization,Early,44.103392568659125
GO:0051171,1.2597171145497859e-30,1,681,2067,regulation of nitrogen compound metabolic process,BP,3.3888189977267176e-27,regulation of nucleobase-containing compound metabolic process,Early,32.94629898403483
GO:0090304,4.149266230153526e-30,1,487,1357,nucleic acid metabolic process,BP,9.76685404750263e-27,nucleic acid metabolic process,Early,35.88798820928519
GO:0031323,3.9237427437696934e-29,1,714,2214,regulation of cellular metabolic process,BP,8.209777734214122e-26,regulation of nucleobase-containing compound metabolic process,Early,32.24932249322493
GO:0080090,1.2147038684785654e-28,1,692,2136,regulation of primary metabolic process,BP,2.2874088547319864e-25,regulation of nucleobase-containing compound metabolic process,Early,32.39700374531835
GO:0060255,1.3571200277996163e-28,1,718,2237,regulation of macromolecule metabolic process,BP,2.3232661130449616e-25,regulation of nucleobase-containing compound metabolic process,Early,32.09655789003129
GO:0050794,4.161277020367784e-28,1,1013,3429,regulation of cellular process,BP,5.597214826467554e-25,regulation of cellular process,Early,29.542140565762615
GO:0051252,1.4254911898922526e-26,1,457,1290,regulation of RNA metabolic process,BP,1.4913013664922784e-23,regulation of nucleobase-containing compound metabolic process,Early,35.42635658914728
GO:0019222,1.8194927576005552e-26,1,761,2436,regulation of metabolic process,BP,1.8033088483355815e-23,regulation of nucleobase-containing compound metabolic process,Early,31.23973727422003
GO:0031326,1.9915885365138478e-24,1,502,1480,regulation of cellular biosynthetic process,BP,1.6305914665692293e-21,regulation of nucleobase-containing compound metabolic process,Early,33.91891891891892
GO:0010556,1.2792145053806391e-23,1,486,1432,regulation of macromolecule biosynthetic process,BP,9.635555340329128e-21,regulation of nucleobase-containing compound metabolic process,Early,33.93854748603352
GO:0009889,1.3331765917032254e-23,1,508,1513,regulation of biosynthetic process,BP,9.655787845524399e-21,regulation of nucleobase-containing compound metabolic process,Early,33.57567746199604
GO:0050789,2.1531915597841038e-23,1,1053,3679,regulation of biological process,BP,1.501731491196091e-20,regulation of cellular process,Early,28.621908127208478
GO:0010468,9.612702266768425e-23,1,538,1636,regulation of gene expression,BP,6.464885585197007e-20,regulation of nucleobase-containing compound metabolic process,Early,32.88508557457212
GO:0048523,1.0626341152647211e-21,1,609,1923,negative regulation of cellular process,BP,6.670154341516656e-19,negative regulation of cellular process,Early,31.669266770670827
GO:0006259,2.5269187561823627e-21,1,195,455,DNA metabolic process,BP,1.5349808741183896e-18,DNA metabolic process,Early,42.857142857142854
GO:0007049,9.301868210524255e-21,1,289,768,cell cycle,BP,5.151867066834773e-18,cell cycle,Early,37.63020833333333
GO:0006325,1.863292829747325e-20,1,169,380,chromatin organization,BP,9.7465742436033e-18,chromatin organization,Early,44.473684210526315
GO:0051726,5.31451900592445e-20,1,274,725,regulation of cell cycle,BP,2.6336238789621925e-17,cell cycle,Early,37.79310344827586
GO:2001141,8.678981950540909e-20,1,400,1169,regulation of RNA biosynthetic process,BP,4.085847727765896e-17,regulation of nucleobase-containing compound metabolic process,Early,34.217279726261765
GO:0065007,1.2103728287930144e-19,1,1100,3952,biological regulation,BP,5.559153838780794e-17,regulation of cellular process,Early,27.83400809716599
GO:0022402,3.1461643530108876e-19,1,267,709,cell cycle process,BP,1.3778004867801867e-16,cell cycle,Early,37.65867418899859
GO:0043170,3.2234754880314816e-19,1,835,2857,macromolecule metabolic process,BP,1.379574248070928e-16,macromolecule metabolic process,Early,29.226461323066154
GO:0006355,5.888864867309131e-19,1,390,1144,regulation of DNA-templated transcription,BP,2.464293651473294e-16,regulation of nucleobase-containing compound metabolic process,Early,34.090909090909086
GO:0031324,6.585027555730426e-19,1,370,1073,negative regulation of cellular metabolic process,BP,2.5833886229574925e-16,negative regulation of cellular process,Early,34.48275862068966
GO:0048519,2.18640281487493e-18,1,650,2138,negative regulation of biological process,BP,7.917721424405733e-16,negative regulation of cellular process,Early,30.402245088868103
GO:0051172,7.125245618070804e-18,1,343,990,negative regulation of nitrogen compound metabolic process,BP,2.484731485812802e-15,negative regulation of cellular process,Early,34.64646464646465
GO:0033044,1.8006003585129748e-17,1,124,265,regulation of chromosome organization,BP,6.16492824566506e-15,chromosome organization,Early,46.79245283018868
GO:0006139,3.390628308086826e-17,1,532,1700,nucleobase-containing compound metabolic process,BP,1.100843477061776e-14,nucleic acid metabolic process,Early,31.294117647058822
GO:0045934,5.927625362417683e-17,1,239,637,negative regulation of nucleobase-containing compound metabolic process,BP,1.8919171728760572e-14,negative regulation of cellular process,Early,37.51962323390895
GO:0048522,1.498394497914044e-16,1,631,2098,positive regulation of cellular process,BP,4.6256175065933383e-14,positive regulation of cellular process,Early,30.07626310772164
GO:0010604,2.370094936676273e-16,1,434,1345,positive regulation of macromolecule metabolic process,BP,7.084326627389033e-14,positive regulation of cellular process,Early,32.267657992565056
GO:0000278,2.462356632848425e-16,1,211,550,mitotic cell cycle,BP,7.150599451677816e-14,cell cycle,Early,38.36363636363636
GO:0048518,2.6369094010894764e-16,1,687,2324,positive regulation of biological process,BP,7.411289691330737e-14,positive regulation of cellular process,Early,29.561101549053355
GO:0010564,2.902838930846886e-16,1,186,468,regulation of cell cycle process,BP,8.038729398055547e-14,cell cycle,Early,39.743589743589745
GO:0051128,4.692614009314605e-16,1,426,1321,regulation of cellular component organization,BP,1.262380205848619e-13,chromosome organization,Early,32.24829674489024
GO:0031327,1.2947216011378236e-15,1,239,652,negative regulation of cellular biosynthetic process,BP,3.43392992549667e-13,negative regulation of cellular process,Early,36.65644171779141
GO:0045935,2.2265798288659872e-15,1,276,784,positive regulation of nucleobase-containing compound metabolic process,BP,5.743660925667865e-13,positive regulation of cellular process,Early,35.204081632653065
GO:0007346,2.468452941288132e-15,1,172,431,regulation of mitotic cell cycle,BP,6.281545586134705e-13,cell cycle,Early,39.90719257540603
GO:1903047,2.894327699135419e-15,1,188,484,mitotic cell cycle process,BP,7.171458539791983e-13,cell cycle,Early,38.84297520661157
GO:0051173,3.2795639200013593e-15,1,409,1270,positive regulation of nitrogen compound metabolic process,BP,8.02045041266826e-13,positive regulation of cellular process,Early,32.20472440944882
GO:0009892,3.495220230753539e-15,1,405,1255,negative regulation of metabolic process,BP,8.438268226323063e-13,negative regulation of cellular process,Early,32.27091633466135
GO:0006996,4.742049036831768e-15,1,574,1905,organelle organization,BP,1.1008581191299933e-12,organelle organization,Early,30.131233595800527
GO:0051254,4.7937106775348864e-15,1,251,700,positive regulation of RNA metabolic process,BP,1.1008581191299933e-12,positive regulation of cellular process,Early,35.85714285714286
GO:0031325,9.802277515124534e-15,1,420,1319,positive regulation of cellular metabolic process,BP,2.1974605700870247e-12,positive regulation of cellular process,Early,31.842304776345713
GO:0016070,1.014280693510267e-14,1,341,1025,RNA metabolic process,BP,2.2470493811166866e-12,nucleic acid metabolic process,Early,33.268292682926834
GO:0006974,1.0399184797581416e-14,1,168,424,DNA damage response,BP,2.2770587084099498e-12,DNA damage response,Early,39.62264150943396
GO:0006397,1.1277781071018586e-14,1,130,302,mRNA processing,BP,2.4410562683718498e-12,mRNA processing,Early,43.04635761589404
GO:0010558,1.2220014802286721e-14,1,227,622,negative regulation of macromolecule biosynthetic process,BP,2.6149443038847865e-12,negative regulation of cellular process,Early,36.4951768488746
GO:0009890,1.6676546922118506e-14,1,239,665,negative regulation of biosynthetic process,BP,3.528495001015883e-12,negative regulation of cellular process,Early,35.93984962406015
GO:0033043,1.8070413598884037e-14,1,256,726,regulation of organelle organization,BP,3.780932872006503e-12,chromosome organization,Early,35.26170798898072
