"","delta.rank","pval","level","nseqs","term","name","p.adj"
"17",0,1.64665932076549e-07,2,178,"GO:0003700","DNA-binding transcription factor activity",0
"80",0,1.77934005557936e-08,2,54,"GO:0004713","protein tyrosine kinase activity",0
"81",0,2.37601976277348e-07,3,14,"GO:0004714","transmembrane receptor protein tyrosine kinase activity",0
"88",0,0.000142210408521634,3,39,"GO:0004857","enzyme inhibitor activity",0
"89",0,0.000126930221691839,3,26,"GO:0004866;GO:0030414;GO:0061135;GO:0061134","peptidase regulator activity",0
"95",0,4.64246656343103e-05,2,23,"GO:0005044;GO:0038024","scavenger receptor activity",0
"101",0,1.33653662929563e-07,2,23,"GO:0005201","extracellular matrix structural constituent",0
"220",0,2.8153083045036e-08,2,18,"GO:0019199","transmembrane receptor protein kinase activity",0
"255",0,1.8616146290804e-05,4,705,"GO:0046872;GO:0043169","metal ion binding",0
"278",0,8.91288894405851e-05,1,210,"GO:0140110","transcription regulator activity",0
