ITS2 type profile UID		8	9
Clade		C	D
Majority ITS2 sequence		C31	D1
Associated species		None	S. glynnii,S. trenchii
ITS2 profile abundance local		39	39
ITS2 profile abundance DB		39	39
ITS2 type profile		C31-C17d-C21-C21ac-C31a	D1-D4-D6-D1ab-D17d
222	WSH083	0.5006268154716403	0.2884268460480049
220	WSH081	0.4937047566715245	0.3258236376233366
191	WSH052	0.4927825827617059	0.33471518043543097
214	WSH075	0.48452751066444943	0.33880413563733647
217	WSH078	0.4843983251410887	0.3114509375568906
215	WSH076	0.4818604086341419	0.3276966513858951
208	WSH069	0.4807699278645739	0.3435313734730127
216	WSH077	0.47051583710407247	0.34580995475113124
210	WSH071	0.4690590809628008	0.33951859956236324
218	WSH079	0.468432444330313	0.3587439010968854
199	WSH060	0.46721952214254153	0.3509669306324984
212	WSH073	0.4641134025020281	0.3476794329874898
188	WSH049	0.4633149804429607	0.3719325344428112
213	WSH074	0.4619538129257352	0.33668383452400735
197	WSH058	0.4610727315066366	0.35958239540479703
223	WSH084	0.4598884903583224	0.3662061862992294
219	WSH080	0.4541749597194578	0.36631598900578144
185	WSH046	0.4529805817010091	0.3792928008140422
221	WSH082	0.4527483739318965	0.3734536411172044
209	WSH070	0.4519591361696625	0.3326436484331221
203	WSH064	0.44963811821471644	0.37657246251938653
198	WSH059	0.44952478808117136	0.3538218780962166
189	WSH050	0.4494024320233808	0.36109806377537707
186	WSH047	0.4476656626506024	0.3807605421686747
206	WSH067	0.4462568257882685	0.3681874229346486
211	WSH072	0.4456272518833934	0.34428431051424824
190	WSH051	0.4446323830309644	0.378802346201064
204	WSH065	0.44394426580921764	0.3721864951768489
187	WSH048	0.43827927675099226	0.3760173194884336
200	WSH061	0.4363670482266842	0.3632576468380559
202	WSH063	0.4282984618324257	0.33935224992834623
205	WSH066	0.4262144821264895	0.3734864199913165
195	WSH056	0.4259173858620463	0.3762105540549443
192	WSH053	0.4256846676472648	0.3723821531133992
193	WSH054	0.4239571704049528	0.37656043844514364
196	WSH057	0.4229958772331654	0.3761337608795236
201	WSH062	0.4170263314195209	0.37228271629380316
194	WSH055	0.41513454070586614	0.3757173786040757
207	WSH068	0.41385441614050367	0.37901879671964583
Sequence accession / SymPortal UID		848-1158-18-1156-1143	347-57-68-985-386
Average defining sequence proportions and [stdev]		0.513[0.036]-0.273[0.033]-0.126[0.014]-0.050[0.006]-0.039[0.006]	0.442[0.026]-0.305[0.025]-0.167[0.012]-0.049[0.009]-0.037[0.012]
