ITS2 type profile UID		8	9
Clade		C	D
Majority ITS2 sequence		C31	D1
Associated species		None	S. glynnii,S. trenchii
ITS2 profile abundance local		39	39
ITS2 profile abundance DB		39	39
ITS2 type profile		C31-C17d-C21-C21ac-C31a	D1-D4-D6-D1ab-D17d
222	WSH083	16373.0	9433.0
220	WSH081	20665.0	13638.0
191	WSH052	16523.0	11223.0
214	WSH075	13403.0	9372.0
217	WSH078	13304.0	8554.0
215	WSH076	15872.0	10794.0
208	WSH069	13263.0	9477.0
216	WSH077	12998.0	9553.0
210	WSH071	16077.0	11637.0
218	WSH079	12769.0	9779.0
199	WSH060	27494.0	20653.0
212	WSH073	10870.0	8143.0
188	WSH049	18597.0	14929.0
213	WSH074	11122.0	8106.0
197	WSH058	11880.0	9265.0
223	WSH084	12950.0	10312.0
219	WSH080	4792.0	3865.0
185	WSH046	10684.0	8946.0
221	WSH082	14200.0	11713.0
209	WSH070	10485.0	7717.0
203	WSH064	10437.0	8741.0
198	WSH059	12250.0	9642.0
189	WSH050	17222.0	13838.0
186	WSH047	11890.0	10113.0
206	WSH067	12667.0	10451.0
211	WSH072	13605.0	10511.0
190	WSH051	16298.0	13885.0
204	WSH065	8284.0	6945.0
187	WSH048	10932.0	9379.0
200	WSH061	11627.0	9679.0
202	WSH063	8966.0	7104.0
205	WSH066	8835.0	7742.0
195	WSH056	12930.0	11421.0
192	WSH053	12155.0	10633.0
193	WSH054	16709.0	14841.0
196	WSH057	9234.0	8211.0
201	WSH062	10532.0	9402.0
194	WSH055	12080.0	10933.0
207	WSH068	11405.0	10445.0
Sequence accession / SymPortal UID		848-1158-18-1156-1143	347-57-68-985-386
Average defining sequence proportions and [stdev]		0.513[0.036]-0.273[0.033]-0.126[0.014]-0.050[0.006]-0.039[0.006]	0.442[0.026]-0.305[0.025]-0.167[0.012]-0.049[0.009]-0.037[0.012]
