"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0009058",0.0188677457992165,1,3,3,"biosynthetic process","BP","other metabolic processes","P"
"2","GO:0006481",0.0342219925431255,1,2,2,"C-terminal protein methylation","BP","protein metabolism","P"
"3","GO:0005975",1.18262851494107e-05,1,9,9,"carbohydrate metabolic process","BP","other metabolic processes","P"
"4","GO:0019752",0.010304810198441,1,4,4,"carboxylic acid metabolic process","BP","other metabolic processes","P"
"5","GO:0007155",0.00103858493967134,1,6,6,"cell adhesion","BP","cell adhesion","P"
"6","GO:0007166",5.36381884481575e-06,1,10,10,"cell surface receptor signaling pathway","BP","signal transduction","P"
"7","GO:0006520",0.0171614368480562,1,3,3,"cellular amino acid metabolic process","BP","other metabolic processes","P"
"8","GO:0006182",0.0307018445077625,1,3,3,"cGMP biosynthetic process","BP","other metabolic processes","P"
"9","GO:0007059",0.0433985923998166,1,2,2,"chromosome segregation","BP","other biological processes","P"
"10","GO:0000077",0.000132584658382862,1,6,6,"DNA damage checkpoint signaling","BP","cell cycle and proliferation","P"
"11","GO:0006310",0.0324895665559639,1,3,3,"DNA recombination","BP","DNA metabolism","P"
"12","GO:0006281",6.87565557206593e-05,1,7,7,"DNA repair","BP","stress response","P"
"13","GO:0006260",0.0325963719917536,1,3,3,"DNA replication","BP","DNA metabolism","P"
"14","GO:0006270",0.00134967950699676,1,5,5,"DNA replication initiation","BP","DNA metabolism","P"
"15","GO:0006352",0.0148945857010018,1,3,3,"DNA-templated transcription, initiation","BP","RNA metabolism","P"
"16","GO:0006302",0.017237062423106,1,3,3,"double-strand break repair","BP","stress response","P"
"17","GO:0007186",1.16991493133186e-14,1,24,24,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"18","GO:0016570",0.0181956208016477,1,3,3,"histone modification","BP","protein metabolism","P"
"19","GO:0006886",1.30168178167477e-08,1,14,14,"intracellular protein transport","BP","transport","P"
"20","GO:0035556",0.0333640213747797,1,3,3,"intracellular signal transduction","BP",NA,NA
"21","GO:0006811",1.01705985450166e-05,1,10,10,"ion transport","BP","transport","P"
"22","GO:0006629",8.65094251869503e-06,1,9,9,"lipid metabolic process","BP","other metabolic processes","P"
"23","GO:0030001",0.00270208998426245,1,5,5,"metal ion transport","BP","transport","P"
"24","GO:0009086",0.0256047013331885,1,3,3,"methionine biosynthetic process","BP","other metabolic processes","P"
"25","GO:0007018",1.33023196155986e-18,1,35,35,"microtubule-based movement","BP","other biological processes","P"
"26","GO:0006298",0.0106344966244964,1,4,4,"mismatch repair","BP","stress response","P"
"27","GO:0006777",0.0158623780155872,1,3,3,"Mo-molybdopterin cofactor biosynthetic process","BP","protein metabolism","P"
"28","GO:0006397",0.000635530833592579,1,6,6,"mRNA processing","BP","RNA metabolism","P"
"29","GO:0000122",0.00878879890561877,1,3,3,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"30","GO:0006139",0.000769948270716112,1,6,6,"nucleobase-containing compound metabolic process","BP","other metabolic processes","P"
"31","GO:0006913",0.0186297204004465,1,3,3,"nucleocytoplasmic transport","BP","transport","P"
"32","GO:0009116",0.0163220997985813,1,3,3,"nucleoside metabolic process","BP","other metabolic processes","P"
"33","GO:0009143",0.0253061855627567,1,2,2,"nucleoside triphosphate catabolic process","BP","other metabolic processes","P"
"34","GO:0008654",0.0423626319825457,1,2,2,"phospholipid biosynthetic process","BP","other metabolic processes","P"
"35","GO:0006813",0.00245309092796622,1,5,5,"potassium ion transport","BP","transport","P"
"36","GO:0006470",0.00027871861279448,1,6,6,"protein dephosphorylation","BP","protein metabolism","P"
"37","GO:0006457",0.00325361721410625,1,4,4,"protein folding","BP","protein metabolism","P"
"38","GO:0006486",0.00106397069412528,1,5,5,"protein glycosylation","BP","protein metabolism","P"
"39","GO:0006606",0.0212198139467746,1,3,3,"protein import into nucleus","BP","transport","P"
"40","GO:0000413",0.00476210467925358,1,4,4,"protein peptidyl-prolyl isomerization","BP","protein metabolism","P"
"41","GO:0006468",9.69979590424811e-12,1,21,21,"protein phosphorylation","BP","protein metabolism","P"
"42","GO:0006508",1.07111254779504e-14,1,26,26,"proteolysis","BP","protein metabolism","P"
"43","GO:0001522",0.00404395453003148,1,4,4,"pseudouridine synthesis","BP","RNA metabolism","P"
"44","GO:0009966",0.0307840737865248,1,2,2,"regulation of signal transduction","BP","signal transduction","P"
"45","GO:0006357",5.28108065479234e-06,1,8,8,"regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"46","GO:0006355",4.4234923613783e-22,1,39,39,"regulation of transcription, DNA-templated","BP","RNA metabolism","P"
"47","GO:0006396",4.35569955942224e-05,1,8,8,"RNA processing","BP","RNA metabolism","P"
"48","GO:0006364",5.69649720786705e-05,1,7,7,"rRNA processing","BP","RNA metabolism","P"
"49","GO:0007165",2.88281436649139e-07,1,12,12,"signal transduction","BP","signal transduction","P"
"50","GO:0000012",0.0203808679917738,1,3,3,"single strand break repair","BP","stress response","P"
"51","GO:0051225",0.0446943772271169,1,2,2,"spindle assembly","BP","cell cycle and proliferation","P"
"52","GO:0006368",0.000297822825957598,1,6,6,"transcription elongation from RNA polymerase II promoter","BP","RNA metabolism","P"
"53","GO:0006351",0.00757311524478352,1,3,3,"transcription, DNA-templated","BP","RNA metabolism","P"
"54","GO:0008033",1.81419910544872e-06,1,10,10,"tRNA processing","BP","RNA metabolism","P"
"55","GO:0006744",0.0439771696930996,1,2,2,"ubiquinone biosynthetic process","BP","other metabolic processes","P"
"56","GO:0006511",2.6718614983764e-11,1,21,21,"ubiquitin-dependent protein catabolic process","BP","protein metabolism","P"
"57","GO:0016192",0.00143852004159188,1,5,5,"vesicle-mediated transport","BP","transport","P"
"58","GO:0070531",0.0125415636067976,1,3,3,"BRCA1-A complex","CC","nucleus","C"
"59","GO:0005813",0.0159304420583349,1,3,3,"centrosome","CC","cytoskeleton","C"
"60","GO:0005694",0.00105385216979816,1,6,6,"chromosome","CC","other cellular component","C"
"61","GO:0005737",1.35309523371989e-16,1,28,28,"cytoplasm","CC","other cellular component","C"
"62","GO:0005856",0.000144077315128126,1,7,7,"cytoskeleton","CC","cytoskeleton","C"
"63","GO:0005783",0.00216893154620533,1,4,4,"endoplasmic reticulum","CC","ER/Golgi","C"
"64","GO:0005576",0.025347760338827,1,3,3,"extracellular region","CC","non-structural extracellular","C"
"65","GO:0000139",0.00353782623930368,1,4,4,"Golgi membrane","CC","ER/Golgi","C"
"66","GO:0016021",6.18595749624692e-18,1,32,32,"integral component of membrane","CC","other membranes","C"
"67","GO:0000776",0.00987792420888062,1,3,3,"kinetochore","CC","other cellular component","C"
"68","GO:0042555",0.00432463094270254,1,4,4,"MCM complex","CC","nucleus","C"
"69","GO:0016020",1.60763586700774e-16,1,29,29,"membrane","CC","other membranes","C"
"70","GO:0005874",0.018771734535347,1,3,3,"microtubule","CC","cytoskeleton","C"
"71","GO:0005643",0.00838693316314984,1,4,4,"nuclear pore","CC","nucleus","C"
"72","GO:0000786",1.04006879705513e-05,1,8,8,"nucleosome","CC","other cellular component","C"
"73","GO:0005634",8.97164936653571e-45,1,78,78,"nucleus","CC","nucleus","C"
"74","GO:0005886",0.0340250065462828,1,3,3,"plasma membrane","CC","plasma membrane","C"
"75","GO:0005840",9.27926248480143e-06,1,7,7,"ribosome","CC","translational apparatus","C"
"76","GO:0005667",0.00053311026467777,1,6,6,"transcription regulator complex","CC","nucleus","C"
"77","GO:0005891",0.0291348377980285,1,3,3,"voltage-gated calcium channel complex","CC","plasma membrane","C"
"78","GO:0003841",0.0423626319825457,1,2,2,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF","other molecular function","F"
"79","GO:0004114",0.00630058006691364,1,4,4,"3',5'-cyclic-nucleotide phosphodiesterase activity","MF","other molecular function","F"
"80","GO:0003779",5.79429220629884e-05,1,8,8,"actin binding","MF","cytoskeletal activity","F"
"81","GO:0005524",5.98474553763446e-140,1,258,258,"ATP binding","MF","other molecular function","F"
"82","GO:0016887",0.000100400450386253,1,8,8,"ATP hydrolysis activity","MF","other molecular function","F"
"83","GO:0005347",0.0125837018715732,1,3,3,"ATP transmembrane transporter activity","MF","transporter activity","F"
"84","GO:0019829",0.0326037001205144,1,3,3,"ATPase-coupled cation transmembrane transporter activity","MF","transporter activity","F"
"85","GO:0042626",0.000338162281028131,1,7,7,"ATPase-coupled transmembrane transporter activity","MF","transporter activity","F"
"86","GO:0005509",7.29516378585296e-20,1,37,37,"calcium ion binding","MF","other molecular function","F"
"87","GO:0016831",0.010304810198441,1,4,4,"carboxy-lyase activity","MF","other molecular function","F"
"88","GO:0004096",0.000850847936379143,1,6,6,"catalase activity","MF","other molecular function","F"
"89","GO:0003824",1.42893757152191e-05,1,8,8,"catalytic activity","MF","other molecular function","F"
"90","GO:0003682",0.00350175958248659,1,5,5,"chromatin binding","MF","other molecular function","F"
"91","GO:0005507",0.0232457972533364,1,3,3,"copper ion binding","MF","other molecular function","F"
"92","GO:0004861",0.0103180916266789,1,3,3,"cyclin-dependent protein serine/threonine kinase inhibitor activity","MF","enzyme regulator activity","F"
"93","GO:0016538",0.0473792453560569,1,2,2,"cyclin-dependent protein serine/threonine kinase regulator activity","MF","enzyme regulator activity","F"
"94","GO:0004197",0.000101595654406229,1,7,7,"cysteine-type endopeptidase activity","MF","other molecular function","F"
"95","GO:0003774",7.87547665094459e-05,1,8,8,"cytoskeletal motor activity","MF","cytoskeletal activity","F"
"96","GO:0003684",0.000184471648913713,1,7,7,"damaged DNA binding","MF","nucleic acid binding activity","F"
"97","GO:0003677",7.20063540728556e-49,1,86,86,"DNA binding","MF","nucleic acid binding activity","F"
"98","GO:0003678",5.27061815382615e-06,1,10,10,"DNA helicase activity","MF","other molecular function","F"
"99","GO:0003910",0.0185065995310328,1,3,3,"DNA ligase (ATP) activity","MF","other molecular function","F"
"100","GO:0003917",0.032008217200908,1,3,3,"DNA topoisomerase type I (single strand cut, ATP-independent) activity","MF","nucleic acid binding activity","F"
"101","GO:0003700",2.55989241885758e-13,1,22,22,"DNA-binding transcription factor activity","MF","transcription regulatory activity","F"
"102","GO:0000981",8.27139745526304e-05,1,6,6,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",NA,NA
"103","GO:0003899",0.0111707178336275,1,4,4,"DNA-directed 5'-3' RNA polymerase activity","MF","other molecular function","F"
"104","GO:0003887",0.00235430699528669,1,5,5,"DNA-directed DNA polymerase activity","MF","other molecular function","F"
"105","GO:0003690",0.0107026581781331,1,3,3,"double-stranded DNA binding","MF","nucleic acid binding activity","F"
"106","GO:0009055",0.00747126169767384,1,3,3,"electron transfer activity","MF","other molecular function","F"
"107","GO:0004519",0.00379681513204475,1,4,4,"endonuclease activity","MF","other molecular function","F"
"108","GO:0050660",6.02345157188335e-06,1,9,9,"flavin adenine dinucleotide binding","MF","other molecular function","F"
"109","GO:0010181",0.00147413871000855,1,5,5,"FMN binding","MF","other molecular function","F"
"110","GO:0005542",0.00313243198202975,1,4,4,"folic acid binding","MF","other molecular function","F"
"111","GO:0004930",4.80621197720754e-14,1,23,23,"G protein-coupled receptor activity","MF","signal transduction activity","F"
"112","GO:0005525",5.52744855354071e-11,1,17,17,"GTP binding","MF","other molecular function","F"
"113","GO:0005096",2.48582400209204e-06,1,11,11,"GTPase activator activity","MF","enzyme regulator activity","F"
"114","GO:0003924",6.79955248855055e-24,1,36,36,"GTPase activity","MF","other molecular function","F"
"115","GO:0005085",2.57858387286232e-06,1,11,11,"guanyl-nucleotide exchange factor activity","MF","enzyme regulator activity","F"
"116","GO:0004383",0.0307018445077625,1,3,3,"guanylate cyclase activity","MF","other molecular function","F"
"117","GO:0004386",1.86750292607588e-14,1,26,26,"helicase activity","MF","other molecular function","F"
"118","GO:0020037",8.62622702525805e-10,1,17,17,"heme binding","MF","other molecular function","F"
"119","GO:0004402",0.00266109479360789,1,5,5,"histone acetyltransferase activity","MF","other molecular function","F"
"120","GO:0018024",0.0269631392386511,1,3,3,"histone-lysine N-methyltransferase activity","MF","other molecular function","F"
"121","GO:0016818",0.0319006464596015,1,3,3,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","MF","other molecular function","F"
"122","GO:0005216",0.000101514308020429,1,8,8,"ion channel activity","MF","transporter activity","F"
"123","GO:0005506",3.19442492496083e-05,1,8,8,"iron ion binding","MF","other molecular function","F"
"124","GO:0000287",2.27411644367393e-06,1,9,9,"magnesium ion binding","MF","other molecular function","F"
"125","GO:0030145",0.0222673760161781,1,3,3,"manganese ion binding","MF","other molecular function","F"
"126","GO:0004571",0.00708839612431697,1,4,4,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity","MF","other molecular function","F"
"127","GO:0046872",0.0160771093520392,1,3,3,"metal ion binding","MF","other molecular function","F"
"128","GO:0004181",0.00248826412777756,1,5,5,"metallocarboxypeptidase activity","MF","other molecular function","F"
"129","GO:0004222",1.30914810228275e-05,1,9,9,"metalloendopeptidase activity","MF","other molecular function","F"
"130","GO:0008237",5.25118132548591e-06,1,10,10,"metallopeptidase activity","MF","other molecular function","F"
"131","GO:0008168",0.000195474436558162,1,7,7,"methyltransferase activity","MF","other molecular function","F"
"132","GO:0008017",1.06290304565503e-05,1,9,9,"microtubule binding","MF","cytoskeletal activity","F"
"133","GO:0003777",4.10472069731576e-18,1,34,34,"microtubule motor activity","MF","cytoskeletal activity","F"
"134","GO:0051287",0.0418360210215171,1,2,2,"NAD binding","MF","other molecular function","F"
"135","GO:0003950",0.00112224602075826,1,6,6,"NAD+ ADP-ribosyltransferase activity","MF","other molecular function","F"
"136","GO:0008137",0.0296910864059201,1,2,2,"NADH dehydrogenase (ubiquinone) activity","MF","other molecular function","F"
"137","GO:0003676",3.91802069164113e-54,1,96,96,"nucleic acid binding","MF","nucleic acid binding activity","F"
"138","GO:0000166",0.00216273464463084,1,5,5,"nucleotide binding","MF","other molecular function","F"
"139","GO:0016491",1.45180903005815e-17,1,29,29,"oxidoreductase activity","MF","other molecular function","F"
"140","GO:0016614",0.0229564924880754,1,3,3,"oxidoreductase activity, acting on CH-OH group of donors","MF","other molecular function","F"
"141","GO:0016705",3.19442492496083e-05,1,8,8,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF","other molecular function","F"
"142","GO:0016616",0.00562449804462536,1,3,3,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF","other molecular function","F"
"143","GO:0003755",0.020590922222786,1,3,3,"peptidyl-prolyl cis-trans isomerase activity","MF","other molecular function","F"
"144","GO:0016791",0.00430930931015774,1,4,4,"phosphatase activity","MF","other molecular function","F"
"145","GO:0004435",0.0330897877421484,1,3,3,"phosphatidylinositol phospholipase C activity","MF","other molecular function","F"
"146","GO:0005515",2.79942543360431e-131,1,243,243,"protein binding","MF","other molecular function","F"
"147","GO:0004671",0.0342219925431255,1,2,2,"protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity","MF","other molecular function","F"
"148","GO:0004672",1.69882685868084e-54,1,98,98,"protein kinase activity","MF","kinase activity","F"
"149","GO:0004864",0.0307840737865248,1,2,2,"protein phosphatase inhibitor activity","MF","enzyme regulator activity","F"
"150","GO:0004674",5.90701139516402e-10,1,17,17,"protein serine/threonine kinase activity","MF","kinase activity","F"
"151","GO:0004713",0.00024879298867129,1,7,7,"protein tyrosine kinase activity","MF","kinase activity","F"
"152","GO:0004725",5.47598309183247e-13,1,22,22,"protein tyrosine phosphatase activity","MF","other molecular function","F"
"153","GO:0008138",0.00124543207969867,1,5,5,"protein tyrosine/serine/threonine phosphatase activity","MF","other molecular function","F"
"154","GO:0004540",0.0307224125393578,1,3,3,"ribonuclease activity","MF","other molecular function","F"
"155","GO:0004525",0.0343684094810555,1,3,3,"ribonuclease III activity","MF","other molecular function","F"
"156","GO:0004526",0.0398341241946777,1,2,2,"ribonuclease P activity","MF","other molecular function","F"
"157","GO:0003723",8.19822933534345e-29,1,51,51,"RNA binding","MF","nucleic acid binding activity","F"
"158","GO:0000977",0.0413767469144085,1,2,2,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF",NA,NA
"159","GO:0004252",8.09690625485303e-07,1,11,11,"serine-type endopeptidase activity","MF","other molecular function","F"
"160","GO:0003697",0.0177079554641812,1,3,3,"single-stranded DNA binding","MF","nucleic acid binding activity","F"
"161","GO:0005484",0.00844390253651543,1,3,3,"SNAP receptor activity","MF","other molecular function","F"
"162","GO:0005200",0.018771734535347,1,3,3,"structural constituent of cytoskeleton","MF","cytoskeletal activity","F"
"163","GO:0003735",2.00253795401119e-06,1,8,8,"structural constituent of ribosome","MF","other molecular function","F"
"164","GO:0004843",3.57355946831473e-14,1,25,25,"thiol-dependent deubiquitinase","MF","other molecular function","F"
"165","GO:0003713",0.0267398253067055,1,3,3,"transcription coactivator activity","MF","transcription regulatory activity","F"
"166","GO:0003712",1.99673371590193e-05,1,7,7,"transcription coregulator activity","MF","transcription regulatory activity","F"
"167","GO:0003743",0.00317945170641873,1,4,4,"translation initiation factor activity","MF","nucleic acid binding activity","F"
"168","GO:0004888",0.00608849375502297,1,4,4,"transmembrane signaling receptor activity","MF","signal transduction activity","F"
"169","GO:0022857",0.000130013251199805,1,7,7,"transmembrane transporter activity","MF","transporter activity","F"
"170","GO:0000049",0.0233419015266496,1,3,3,"tRNA binding","MF","nucleic acid binding activity","F"
"171","GO:0017150",0.00025815052674791,1,6,6,"tRNA dihydrouridine synthase activity","MF","other molecular function","F"
"172","GO:0004842",0.000843656275783309,1,6,6,"ubiquitin-protein transferase activity","MF","other molecular function","F"
