"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0006207",0.00345542640872732,1,4,4,"'de novo' pyrimidine nucleobase biosynthetic process","BP","other metabolic processes","P"
"2","GO:0009058",3.04072943391687e-09,1,15,15,"biosynthetic process","BP","other metabolic processes","P"
"3","GO:0006816",0.0100700666582485,1,3,3,"calcium ion transport","BP","transport","P"
"4","GO:0005975",9.81323134261125e-09,1,14,14,"carbohydrate metabolic process","BP","other metabolic processes","P"
"5","GO:0006812",0.00216915958748139,1,5,5,"cation transport","BP","transport","P"
"6","GO:0007154",0.0100700666582485,1,3,3,"cell communication","BP","other biological processes","P"
"7","GO:0007166",3.07759739189722e-06,1,8,8,"cell surface receptor signaling pathway","BP","signal transduction","P"
"8","GO:0006520",0.0154421626335419,1,3,3,"cellular amino acid metabolic process","BP","other metabolic processes","P"
"9","GO:0060271",0.0254571943023081,1,3,3,"cilium assembly","BP","cell organization and biogenesis","P"
"10","GO:0007010",0.00037400257396986,1,6,6,"cytoskeleton organization","BP","cell organization and biogenesis","P"
"11","GO:0032508",0.00293545895967855,1,4,4,"DNA duplex unwinding","BP","DNA metabolism","P"
"12","GO:0006310",0.000460154908155673,1,6,6,"DNA recombination","BP","DNA metabolism","P"
"13","GO:0006281",5.5222550183779e-05,1,8,8,"DNA repair","BP","stress response","P"
"14","GO:0006260",2.46480298224959e-05,1,8,8,"DNA replication","BP","DNA metabolism","P"
"15","GO:0006270",0.00293545895967855,1,4,4,"DNA replication initiation","BP","DNA metabolism","P"
"16","GO:0006351",0.0476664980362714,1,3,3,"DNA-templated transcription","BP","RNA metabolism","P"
"17","GO:0006352",0.0479753112047434,1,3,3,"DNA-templated transcription initiation","BP","RNA metabolism","P"
"18","GO:0006635",0.0143765001179408,1,3,3,"fatty acid beta-oxidation","BP","other metabolic processes","P"
"19","GO:0007186",2.60834073118026e-43,1,81,81,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"20","GO:0006096",0.0247356675220682,1,3,3,"glycolytic process","BP","other metabolic processes","P"
"21","GO:0006183",0.0348848931927357,1,3,3,"GTP biosynthetic process","BP","other metabolic processes","P"
"22","GO:0007156",0.0104141629656834,1,3,3,"homophilic cell adhesion via plasma membrane adhesion molecules","BP","cell adhesion","P"
"23","GO:0120009",0.00922759300138457,1,4,4,"intermembrane lipid transfer","BP",NA,NA
"24","GO:0006886",3.70706920167823e-16,1,27,27,"intracellular protein transport","BP","transport","P"
"25","GO:0006811",1.42217769205458e-16,1,24,24,"ion transport","BP","transport","P"
"26","GO:0016226",0.0140610697531626,1,4,4,"iron-sulfur cluster assembly","BP","other metabolic processes","P"
"27","GO:0001822",0.0358108009570448,1,2,2,"kidney development","BP","developmental processes","P"
"28","GO:0006629",6.73199933823409e-06,1,10,10,"lipid metabolic process","BP","other metabolic processes","P"
"29","GO:0030001",0.0316538381999763,1,3,3,"metal ion transport","BP","transport","P"
"30","GO:0000226",0.0134472692048188,1,3,3,"microtubule cytoskeleton organization","BP","cell organization and biogenesis","P"
"31","GO:0007018",2.79342671839178e-23,1,32,32,"microtubule-based movement","BP","other biological processes","P"
"32","GO:0006298",0.0409431279330785,1,2,2,"mismatch repair","BP","stress response","P"
"33","GO:0000278",0.00976823171624703,1,4,4,"mitotic cell cycle","BP","cell cycle and proliferation","P"
"34","GO:0000398",1.52656090097067e-06,1,13,13,"mRNA splicing, via spliceosome","BP","RNA metabolism","P"
"35","GO:0007275",1.4539779420795e-05,1,10,10,"multicellular organism development","BP","developmental processes","P"
"36","GO:0006807",0.0345553714949741,1,3,3,"nitrogen compound metabolic process","BP","other metabolic processes","P"
"37","GO:0006139",0.000553647480618763,1,5,5,"nucleobase-containing compound metabolic process","BP","other metabolic processes","P"
"38","GO:0006165",0.0348848931927357,1,3,3,"nucleoside diphosphate phosphorylation","BP","other metabolic processes","P"
"39","GO:0006857",0.016592545109423,1,3,3,"oligopeptide transport","BP","transport","P"
"40","GO:0046854",0.00213439176555597,1,5,5,"phosphatidylinositol phosphate biosynthetic process","BP","other metabolic processes","P"
"41","GO:0008654",0.036991400661075,1,3,3,"phospholipid biosynthetic process","BP","other metabolic processes","P"
"42","GO:0015914",0.00158825299250821,1,4,4,"phospholipid transport","BP","transport","P"
"43","GO:0006813",1.12246976818266e-09,1,15,15,"potassium ion transport","BP","transport","P"
"44","GO:0006470",0.0185881996782401,1,3,3,"protein dephosphorylation","BP","protein metabolism","P"
"45","GO:0006457",1.5907308822286e-11,1,21,21,"protein folding","BP","protein metabolism","P"
"46","GO:0006486",2.94252635106149e-14,1,26,26,"protein glycosylation","BP","protein metabolism","P"
"47","GO:0051260",5.96590522538774e-05,1,7,7,"protein homooligomerization","BP","cell organization and biogenesis","P"
"48","GO:0006487",0.000746538905106457,1,6,6,"protein N-linked glycosylation","BP","protein metabolism","P"
"49","GO:0000413",6.22252737553522e-05,1,9,9,"protein peptidyl-prolyl isomerization","BP","protein metabolism","P"
"50","GO:0006468",0.000119207918958498,1,6,6,"protein phosphorylation","BP","protein metabolism","P"
"51","GO:0015031",0.0242521096501452,1,3,3,"protein transport","BP","transport","P"
"52","GO:0016567",0.0147684838883927,1,3,3,"protein ubiquitination","BP","protein metabolism","P"
"53","GO:0006508",1.33661215054663e-17,1,29,29,"proteolysis","BP","protein metabolism","P"
"54","GO:0015986",0.000105881380359523,1,8,8,"proton motive force-driven ATP synthesis","BP","transport","P"
"55","GO:0006355",4.79688205212001e-12,1,22,22,"regulation of DNA-templated transcription","BP","RNA metabolism","P"
"56","GO:0009966",0.0236148830398688,1,3,3,"regulation of signal transduction","BP","signal transduction","P"
"57","GO:0006357",0.000135812410142469,1,8,8,"regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"58","GO:0006979",0.000231218488627057,1,7,7,"response to oxidative stress","BP","stress response","P"
"59","GO:0001510",6.54843960000125e-07,1,11,11,"RNA methylation","BP","RNA metabolism","P"
"60","GO:0006465",0.00713497254856466,1,5,5,"signal peptide processing","BP","protein metabolism","P"
"61","GO:0007165",2.26883792478227e-05,1,9,9,"signal transduction","BP","signal transduction","P"
"62","GO:0006814",8.05724660567253e-05,1,7,7,"sodium ion transport","BP","transport","P"
"63","GO:0000245",0.0344275845549412,1,3,3,"spliceosomal complex assembly","BP","RNA metabolism","P"
"64","GO:0000387",0.0174460936616775,1,4,4,"spliceosomal snRNP assembly","BP","RNA metabolism","P"
"65","GO:0006614",0.0135629014195983,1,4,4,"SRP-dependent cotranslational protein targeting to membrane","BP","transport","P"
"66","GO:0000723",0.0454221790835608,1,2,2,"telomere maintenance","BP","DNA metabolism","P"
