"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0006207",0.00360298755949006,1,4,4,"'de novo' pyrimidine nucleobase biosynthetic process","BP","other metabolic processes","P"
"2","GO:0009058",3.39165339424274e-09,1,15,15,"biosynthetic process","BP","other metabolic processes","P"
"3","GO:0006816",0.0103377107328741,1,3,3,"calcium ion transport","BP","transport","P"
"4","GO:0005975",1.09428068435431e-08,1,14,14,"carbohydrate metabolic process","BP","other metabolic processes","P"
"5","GO:0006812",0.00224945132186058,1,5,5,"cation transport","BP","transport","P"
"6","GO:0007154",0.0103377107328741,1,3,3,"cell communication","BP","other biological processes","P"
"7","GO:0007166",3.36051517489719e-06,1,8,8,"cell surface receptor signaling pathway","BP","signal transduction","P"
"8","GO:0006520",0.0158547330880104,1,3,3,"cellular amino acid metabolic process","BP","other metabolic processes","P"
"9","GO:0060271",0.0260100745686867,1,3,3,"cilium assembly","BP","cell organization and biogenesis","P"
"10","GO:0007010",0.00039105018332482,1,6,6,"cytoskeleton organization","BP","cell organization and biogenesis","P"
"11","GO:0032508",0.00302810672822479,1,4,4,"DNA duplex unwinding","BP","DNA metabolism","P"
"12","GO:0006310",0.000483414609846167,1,6,6,"DNA recombination","BP","DNA metabolism","P"
"13","GO:0006281",5.88788793182227e-05,1,8,8,"DNA repair","BP","stress response","P"
"14","GO:0006260",2.62698217621317e-05,1,8,8,"DNA replication","BP","DNA metabolism","P"
"15","GO:0006270",0.00302810672822479,1,4,4,"DNA replication initiation","BP","DNA metabolism","P"
"16","GO:0006351",0.04873025684505,1,3,3,"DNA-templated transcription","BP","RNA metabolism","P"
"17","GO:0006352",0.0490457977689698,1,3,3,"DNA-templated transcription initiation","BP","RNA metabolism","P"
"18","GO:0006635",0.014697219995694,1,3,3,"fatty acid beta-oxidation","BP","other metabolic processes","P"
"19","GO:0007186",4.82548749121483e-43,1,81,81,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"20","GO:0006096",0.0252707278287175,1,3,3,"glycolytic process","BP","other metabolic processes","P"
"21","GO:0006183",0.0356507542300829,1,3,3,"GTP biosynthetic process","BP","other metabolic processes","P"
"22","GO:0007156",0.0107299933049606,1,3,3,"homophilic cell adhesion via plasma membrane adhesion molecules","BP","cell adhesion","P"
"23","GO:0120009",0.00950023782343911,1,4,4,"intermembrane lipid transfer","BP",NA,NA
"24","GO:0006886",4.6558673114406e-16,1,27,27,"intracellular protein transport","BP","transport","P"
"25","GO:0006811",3.46987271732858e-17,1,25,25,"ion transport","BP","transport","P"
"26","GO:0016226",0.0144776701631368,1,4,4,"iron-sulfur cluster assembly","BP","other metabolic processes","P"
"27","GO:0001822",0.0367504334104276,1,2,2,"kidney development","BP","developmental processes","P"
"28","GO:0006629",7.23637252226034e-06,1,10,10,"lipid metabolic process","BP","other metabolic processes","P"
"29","GO:0030001",0.0323436562497955,1,3,3,"metal ion transport","BP","transport","P"
"30","GO:0000226",0.0137821050470693,1,3,3,"microtubule cytoskeleton organization","BP","cell organization and biogenesis","P"
"31","GO:0007018",4.01403216228618e-23,1,32,32,"microtubule-based movement","BP","other biological processes","P"
"32","GO:0006298",0.0418616249300653,1,2,2,"mismatch repair","BP","stress response","P"
"33","GO:0000278",0.0100653200337706,1,4,4,"mitotic cell cycle","BP","cell cycle and proliferation","P"
"34","GO:0000398",1.68032044732197e-06,1,13,13,"mRNA splicing, via spliceosome","BP","RNA metabolism","P"
"35","GO:0007275",1.56345189370684e-05,1,10,10,"multicellular organism development","BP","developmental processes","P"
"36","GO:0006807",0.0353123283312007,1,3,3,"nitrogen compound metabolic process","BP","other metabolic processes","P"
"37","GO:0006139",0.000580885986965084,1,5,5,"nucleobase-containing compound metabolic process","BP","other metabolic processes","P"
"38","GO:0006165",0.0356507542300829,1,3,3,"nucleoside diphosphate phosphorylation","BP","other metabolic processes","P"
"39","GO:0006857",0.0169578007448911,1,3,3,"oligopeptide transport","BP","transport","P"
"40","GO:0046854",0.00221467870394199,1,5,5,"phosphatidylinositol phosphate biosynthetic process","BP","other metabolic processes","P"
"41","GO:0008654",0.0378079360609621,1,3,3,"phospholipid biosynthetic process","BP","other metabolic processes","P"
"42","GO:0015914",0.00166170285572006,1,4,4,"phospholipid transport","BP","transport","P"
"43","GO:0006813",1.27198737631966e-09,1,15,15,"potassium ion transport","BP","transport","P"
"44","GO:0006470",0.0190724703139157,1,3,3,"protein dephosphorylation","BP","protein metabolism","P"
"45","GO:0006457",2.24754442103936e-12,1,23,23,"protein folding","BP","protein metabolism","P"
"46","GO:0006486",3.55311349437553e-14,1,26,26,"protein glycosylation","BP","protein metabolism","P"
"47","GO:0051260",6.31030095881466e-05,1,7,7,"protein homooligomerization","BP","cell organization and biogenesis","P"
"48","GO:0006487",0.000780699019702121,1,6,6,"protein N-linked glycosylation","BP","protein metabolism","P"
"49","GO:0000413",6.64510029822297e-05,1,9,9,"protein peptidyl-prolyl isomerization","BP","protein metabolism","P"
"50","GO:0006468",0.00012604328308905,1,6,6,"protein phosphorylation","BP","protein metabolism","P"
