"","GO_ID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0006207",0.00726982825842811,1,2,2,"'de novo' pyrimidine nucleobase biosynthetic process","BP","other metabolic processes","P"
"2","GO:0009308",0.0061702008232484,1,2,2,"amine metabolic process","BP","other metabolic processes","P"
"3","GO:0006915",0.00719190484074965,1,2,2,"apoptotic process","BP","death","P"
"4","GO:0005975",0.00672982962884574,1,2,2,"carbohydrate metabolic process","BP","other metabolic processes","P"
"5","GO:0007166",0.00535088480203944,1,2,2,"cell surface receptor signaling pathway","BP","signal transduction","P"
"6","GO:0007059",0.00800848489353867,1,2,2,"chromosome segregation","BP","other biological processes","P"
"7","GO:0006310",0.0082467790195957,1,2,2,"DNA recombination","BP","DNA metabolism","P"
"8","GO:0006281",0.000649847810978855,1,3,3,"DNA repair","BP","stress response","P"
"9","GO:0006351",0.00477704693128516,1,2,2,"DNA-templated transcription","BP","RNA metabolism","P"
"10","GO:0006352",0.000734402227169582,1,3,3,"DNA-templated transcription initiation","BP","RNA metabolism","P"
"11","GO:0006888",0.000435707869104329,1,3,3,"endoplasmic reticulum to Golgi vesicle-mediated transport","BP","transport","P"
"12","GO:0007186",1.09403503795593e-14,1,13,13,"G protein-coupled receptor signaling pathway","BP","signal transduction","P"
"13","GO:0120009",0.00822618629166567,1,2,2,"intermembrane lipid transfer","BP",NA,NA
"14","GO:0006886",1.01355706686644e-08,1,7,7,"intracellular protein transport","BP","transport","P"
"15","GO:0034220",0.00699560401191589,1,2,2,"ion transmembrane transport","BP","transport","P"
"16","GO:0006811",1.64252789084585e-06,1,5,5,"ion transport","BP","transport","P"
"17","GO:0006629",0.000639954701950263,1,3,3,"lipid metabolic process","BP","other metabolic processes","P"
"18","GO:0030001",0.000444663360520103,1,3,3,"metal ion transport","BP","transport","P"
"19","GO:0006298",0.00603414370125463,1,2,2,"mismatch repair","BP","stress response","P"
"20","GO:0000398",0.00543815880771946,1,2,2,"mRNA splicing, via spliceosome","BP","RNA metabolism","P"
"21","GO:0007275",0.00709312108723101,1,2,2,"multicellular organism development","BP","developmental processes","P"
"22","GO:0006813",0.000505071935746663,1,3,3,"potassium ion transport","BP","transport","P"
"23","GO:0006470",5.8948613516643e-05,1,4,4,"protein dephosphorylation","BP","protein metabolism","P"
"24","GO:0006486",2.08709495507671e-11,1,10,10,"protein glycosylation","BP","protein metabolism","P"
"25","GO:0006508",1.69224840738321e-09,1,8,8,"proteolysis","BP","protein metabolism","P"
"26","GO:0001522",0.00730144022933948,1,2,2,"pseudouridine synthesis","BP","RNA metabolism","P"
"27","GO:0006355",7.00073046922195e-17,1,15,15,"regulation of DNA-templated transcription","BP","RNA metabolism","P"
"28","GO:0006396",0.00588089366946379,1,2,2,"RNA processing","BP","RNA metabolism","P"
"29","GO:0006364",0.00734061683751452,1,2,2,"rRNA processing","BP","RNA metabolism","P"
"30","GO:0007165",3.85452607310923e-06,1,5,5,"signal transduction","BP","signal transduction","P"
"31","GO:0000723",1.96956061380367e-05,1,4,4,"telomere maintenance","BP","DNA metabolism","P"
"32","GO:0006412",0.0085335537987916,1,2,2,"translation","BP","protein metabolism","P"
"33","GO:0019441",0.0073350381369854,1,2,2,"tryptophan catabolic process to kynurenine","BP","other metabolic processes","P"
"34","GO:0016055",0.00638705137770163,1,2,2,"Wnt signaling pathway","BP","signal transduction","P"
"35","GO:0005737",3.09703585626585e-08,1,7,7,"cytoplasm","CC","other cellular component","C"
"36","GO:0000813",0.00600179245525638,1,2,2,"ESCRT I complex","CC","other cytoplasmic organelle","C"
"37","GO:0005576",0.00709312108723101,1,2,2,"extracellular region","CC","non-structural extracellular","C"
"38","GO:0016021",2.32708471307245e-21,1,19,19,"integral component of membrane","CC","other membranes","C"
"39","GO:0016020",1.00326324540137e-22,1,20,20,"membrane","CC","other membranes","C"
"40","GO:0005874",0.00726986751428375,1,2,2,"microtubule","CC","cytoskeleton","C"
"41","GO:0005743",0.00744723820164829,1,2,2,"mitochondrial inner membrane","CC","mitochondrion","C"
"42","GO:0000786",6.78952955972422e-35,1,33,33,"nucleosome","CC","other cellular component","C"
"43","GO:0005634",1.66427570922624e-27,1,25,25,"nucleus","CC","nucleus","C"
"44","GO:0005886",0.000110696274645478,1,3,3,"plasma membrane","CC","plasma membrane","C"
"45","GO:0000159",0.00568233792409203,1,2,2,"protein phosphatase type 2A complex","CC","other cellular component","C"
"46","GO:0005667",0.0074075299071912,1,2,2,"transcription regulator complex","CC","nucleus","C"
"47","GO:0022848",0.00699560401191589,1,2,2,"acetylcholine-gated cation-selective channel activity","MF","transporter activity","F"
"48","GO:0008376",0.000493648543791189,1,3,3,"acetylgalactosaminyltransferase activity","MF","other molecular function","F"
"49","GO:0004812",0.00752406797968563,1,2,2,"aminoacyl-tRNA ligase activity","MF","other molecular function","F"
"50","GO:0004190",0.000558374949306123,1,3,3,"aspartic-type endopeptidase activity","MF","other molecular function","F"
"51","GO:0005524",2.43600953392578e-52,1,47,47,"ATP binding","MF","other molecular function","F"
"52","GO:0016887",0.00657963651803661,1,2,2,"ATP hydrolysis activity","MF","other molecular function","F"
"53","GO:0005347",0.00745982963575462,1,2,2,"ATP transmembrane transporter activity","MF","transporter activity","F"
"54","GO:0005509",1.34821505925976e-15,1,13,13,"calcium ion binding","MF","other molecular function","F"
"55","GO:0005516",0.00709136390733759,1,2,2,"calmodulin binding","MF","other molecular function","F"
"56","GO:0004683",0.00709136390733759,1,2,2,"calmodulin-dependent protein kinase activity","MF","kinase activity","F"
"57","GO:0003824",0.000675447698374214,1,3,3,"catalytic activity","MF","other molecular function","F"
"58","GO:0015377",0.00521143217790259,1,2,2,"cation:chloride symporter activity","MF","transporter activity","F"
"59","GO:0005507",0.000450940245088108,1,3,3,"copper ion binding","MF","other molecular function","F"
